,Unnamed: 0,FIPS,County Name,State,Population,2012 Crimes,"2012 Crime Rate Per 10,000",2013 Crimes,"2013 Crime Rate Per 10,000",2014 Crimes,"2014 Crime Rate Per 10,000",2015 Crimes,"2015 Crime Rate Per 10,000",2016 Crimes,"2016 Crime Rate Per 10,000",Total Crimes,2012-2016 Combined Crime Rate,2012-2016 Average Crime Rate,ForeignBorn_Rate,Household Income,Per Capita Income,Poverty Rate,state_abbr
0,0,1001,Autauga,Alabama,55049.0,0.0,0.0,2.0,3.633,4.0,7.266,1.0,1.817,0.0,0.0,7.0,12.716,2.5432,1.838362186415739,53099.0,26168.0,12.165525259314427,AL
1,1,1003,Baldwin,Alabama,199510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.501,1.0,0.501,0.1002,3.2695103002355768,51365.0,28069.0,12.806876848278284,AL
2,2,1073,Jefferson,Alabama,659096.0,6.0,0.91,0.0,0.0,3.0,0.455,7.0,1.062,11.0,1.669,27.0,4.097,0.8192,3.9258317452996234,47220.0,28162.0,17.7136562807239,AL
3,3,1077,Lauderdale,Alabama,92641.0,0.0,0.0,2.0,2.1590000000000003,0.0,0.0,0.0,0.0,1.0,1.079,3.0,3.238,0.6476,2.0530866463013138,43657.0,24893.0,17.851707127513738,AL
4,4,1121,Talladega,Alabama,81057.0,0.0,0.0,0.0,0.0,2.0,2.467,0.0,0.0,0.0,0.0,2.0,2.467,0.4934,1.5408909779537856,37923.0,20430.0,19.88600614382472,AL
5,5,1125,Tuscaloosa,Alabama,202471.0,0.0,0.0,1.0,0.494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.494,0.0988,3.5200102730761444,48022.0,23896.0,17.024660321725086,AL
6,6,2020,Anchorage,Alaska,299321.0,6.0,2.005,8.0,2.673,5.0,1.67,4.0,1.3359999999999999,4.0,1.3359999999999999,27.0,9.02,1.804,10.291960804621127,80862.0,37864.0,7.901884598808638,AK
7,7,2090,Fairbanks North Star,Alaska,100150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9990000000000001,0.0,0.0,1.0,0.999,0.1998,5.191213180229656,73831.0,34182.0,7.432850723914129,AK
8,8,2110,Juneau,Alaska,32524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.448,6.0,18.448,3.6896,8.166277210675194,87436.0,40592.0,7.271553314475463,AK
9,9,2122,Kenai Peninsula,Alaska,57637.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.735,0.0,0.0,1.0,1.735,0.34700000000000003,2.817634505612714,64891.0,32556.0,10.713604108471989,AK
10,10,2170,Matanuska-Susitna,Alaska,98679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.013,1.0,1.013,0.2026,3.2793198147528857,73908.0,30078.0,9.475166955481916,AK
11,11,2188,Northwest Arctic,Alaska,7723.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.948,0.0,0.0,1.0,12.948,2.5896,1.2689369416030043,61341.0,21028.0,24.26518192412275,AK
12,12,4001,Apache,Arizona,72346.0,0.0,0.0,1.0,1.382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.382,0.2764,1.7195145550548752,32460.0,13428.0,35.46567882122024,AZ
13,14,4005,Coconino,Arizona,138064.0,3.0,2.173,0.0,0.0,3.0,2.173,0.0,0.0,0.0,0.0,6.0,4.346,0.8692,4.825298412330514,51106.0,24711.0,20.420239888747247,AZ
14,15,4013,Maricopa,Arizona,4088549.0,107.0,2.617,84.0,2.055,173.0,4.231,200.0,4.8919999999999995,144.0,3.522,708.0,17.317,3.4634,14.729333071463737,55676.0,28791.0,16.301944773072304,AZ
15,16,4015,Mohave,Arizona,203629.0,0.0,0.0,0.0,0.0,1.0,0.491,0.0,0.0,0.0,0.0,1.0,0.491,0.0982,6.969046648561847,39856.0,22026.0,18.604422749215484,AZ
16,17,4017,Navajo,Arizona,108209.0,1.0,0.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.924,0.1848,2.9147298283876566,36868.0,16564.0,29.179643098078717,AZ
17,18,4019,Pima,Arizona,1003338.0,8.0,0.797,20.0,1.993,7.0,0.698,1.0,0.1,4.0,0.39899999999999997,40.0,3.987,0.7974,12.90342835614718,46764.0,26204.0,18.56792028209836,AZ
18,19,4021,Pinal,Arizona,397604.0,4.0,1.006,2.0,0.503,1.0,0.252,2.0,0.503,2.0,0.503,11.0,2.767,0.5534,9.872888602730354,51190.0,21982.0,15.450045774187384,AZ
19,20,4023,Santa Cruz,Arizona,46547.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.148,0.0,0.0,1.0,2.148,0.4296,32.64442391561218,38941.0,18860.0,21.66197606720089,AZ
20,21,4025,Yavapai,Arizona,218586.0,0.0,0.0,1.0,0.457,1.0,0.457,1.0,0.457,1.0,0.457,4.0,1.83,0.3656,6.456955157237884,46638.0,26584.0,14.416293815706403,AZ
