State,Agency type,Agency name,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Alabama,Total,,3,2,0,1,0,,,,,
Alabama,Cities,,3,2,0,1,0,,,,,
Alabama,,Hoover,3,2,0,1,0,2,3,1,0,"82,332"
Alaska,Total,,5,1,0,0,0,,,,,
Alaska,Cities,,5,1,0,0,0,,,,,
Alaska,,Anchorage,5,1,0,0,0,0,4,1,1,"299,143"
Arizona,Total,,75,25,43,32,1,,,,,
Arizona,Cities,,71,23,42,30,1,,,,,
Arizona,,Apache Junction,1,0,0,0,0,0,0,1,0,"36,986"
Arizona,,Coolidge,1,0,0,0,0,0,,0,1,"12,206"
Arizona,,Flagstaff,1,2,2,0,0,0,2,0,3,"66,633"
Arizona,,Gilbert,2,0,0,0,0,0,1,0,1,"214,264"
Arizona,,Glendale,2,2,2,2,0,1,,4,3,"232,997"
Arizona,,Maricopa,1,0,1,1,0,2,1,0,0,"44,881"
Arizona,,Mesa,0,2,0,0,0,,,0,2,"451,391"
Arizona,,Paradise Valley,0,1,0,0,0,1,,0,0,"13,177"
Arizona,,Phoenix,59,8,32,22,0,47,,39,35,"1,485,509"
Arizona,,Prescott Valley,0,0,1,0,0,1,,0,0,"39,407"
Arizona,,Scottsdale,1,2,0,0,0,,,1,2,"223,432"
Arizona,,Show Low,0,0,0,1,0,0,0,1,0,"10,773"
Arizona,,Tempe,1,2,2,0,0,0,,3,2,"166,061"
Arizona,,Tucson,2,4,2,2,0,,,4,6,"531,535"
Arizona,,Willcox,0,0,0,0,1,1,0,0,0,"3,837"
Arizona,,Yuma,0,0,0,2,0,1,,1,0,"95,568"
Arizona,Universities and Colleges,,1,1,1,1,0,,,,,
Arizona,,"Arizona State University, Main Campus",0,0,1,1,0,0,0,2,0,"72,254"
Arizona,,University of Arizona,1,1,0,0,0,0,1,1,0,"39,236"
Arizona,Metropolitan Counties,,2,1,0,1,0,, ,,,
Arizona,,Maricopa,2,0,0,0,0,1,,1,0,
Arizona,,Mohave,0,1,0,0,0,0,0,1,0,
Arizona,,Pima,0,0,0,1,0,,1,,0,
Arizona,Other Agencies,,1,0,0,0,0,,,,,
Arizona,,Tucson Airport Authority,1,0,0,0,0,1,,0,0,
Arkansas,Total,,11,3,13,2,1,,,,,
Arkansas,Cities,,9,3,12,1,1,,,,,
Arkansas,,Benton,0,0,1,0,0,0,0,1,0,"31,486"
Arkansas,,Bentonville,0,2,0,0,0,2,0,0,0,"36,433"
Arkansas,,Bryant,1,0,0,0,0,0,0,0,1,"17,129"
Arkansas,,Fort Smith,0,0,1,0,0,0,0,1,0,"87,483"
Arkansas,,Jonesboro,1,0,0,0,0,0,1,0,0,"68,807"
Arkansas,,McGehee,1,0,0,0,0,1,0,0,0,"4,157"
Arkansas,,Newport,1,0,0,0,0,0,1,0,0,"7,862"
Arkansas,,Ola,1,0,0,0,0,1,0,0,0,"1,276"
Arkansas,,Paragould,1,0,0,0,0,1,0,0,0,"26,602"
Arkansas,,Pine Bluff,0,1,1,0,0,0,0,2,0,"48,522"
Arkansas,,Rogers,0,0,1,0,0,1,0,0,0,"57,757"
Arkansas,,Sherwood,2,0,7,0,0,5,2,1,1,"29,914"
Arkansas,,Springdale,1,0,1,1,1,2,0,0,2,"71,668"
Arkansas,Universities and Colleges,,1,0,1,0,0,,,,,
Arkansas,,University of Arkansas:,,,,,,,,,,
Arkansas,,Fayetteville,1,0,0,0,0,0,0,0,1,"23,199"
Arkansas,,Little Rock,0,0,1,0,0,0,0,0,1,"13,068"
Arkansas,Metropolitan Counties,,1,0,0,0,0,,,,,
Arkansas,,Pulaski,1,0,0,0,0,0,0,0,1,
Arkansas,Nonmetropolitan Counties,,0,0,0,1,0,,,,, 
Arkansas,,Independence,0,0,0,1,0,1,0,0,0,
California,Total, ,379,144,234,151,2,,,,,
California,Cities,,296,123,203,114,1,,,,,
California,,Adelanto,1,0,0,0,0,0,0,1,0,"32,520"
California,,Agoura Hills,1,2,1,0,0,0,1,3,0,"20,667"
California,,Aliso Viejo,0,1,0,0,0,0,0,1,0,"48,999"
California,,Anaheim,0,0,1,0,0,0,0,0,1,"344,526"
California,,Antioch,2,0,2,0,0,0,2,1,1,"105,009"
California,,Apple Valley,0,0,0,2,0,0,0,0,2,"70,823"
California,,Arcata,1,0,0,0,0,0,1,0,0,"17,408"
California,,Atascadero,0,0,1,0,0,0,1,0,0,"28,825"
California,,Azusa,3,0,0,0,0,1,0,1,1,"47,111"
California,,Bakersfield,2,0,2,0,0,0,0,3,1,"355,696"
California,,Bellflower,0,0,1,0,0,0,0,0,1,"77,886"
California,,Benicia,0,0,1,0,0,1,0,0,0,"27,459"
California,,Berkeley,3,2,1,2,0,1,1,5,1,"114,961"
California,,Beverly Hills,2,2,1,0,0,0,2,2,1,"34,677"
California,,Brentwood,1,0,0,0,0,0,1,0,0,"52,811"
California,,Buena Park,2,0,1,0,0,0,2,1,0,"82,505"
California,,Burbank,1,1,3,4,0,2,5,1,1,"105,057"
California,,Calabasas,0,2,0,0,0,0,1,1,0,"23,442"
California,,Calimesa,0,0,2,0,0,0,0,0,2,"8,136"
California,,Camarillo,0,3,1,0,0,0,0,2,2,"66,506"
California,,Campbell,1,0,0,0,0,1,0,0,0,"40,339"
California,,Capitola,0,0,1,0,0,0,0,1,0,"10,085"
California,,Carson,2,0,0,1,0,0,2,1,0,"93,233"
California,,Cerritos,1,0,0,0,0,0,0,0,1,"49,856"
California,,Chico,1,1,1,2,0,2,0,3,0,"87,090"
California,,Chino,1,0,2,0,0,0,1,1,1,"79,792"
