State,Agency type,Agency name,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Alabama,Total,,7,1,0,1,0,0,0,,,,,
Alabama,Cities,,7,1,0,1,0,0,0,,,,,
Alabama,,Fairfield,1,0,0,0,0,0,0,,1,,,"10,913"
Alabama,,Hoover,0,1,0,1,0,0,0,1,0,0,1,"84,843"
Alabama,,Prattville,4,0,0,0,0,0,0,,3,1,,"35,530"
Alabama,,Sylacauga,2,0,0,0,0,0,0,,,1,1,"12,722"
Alaska,Total,,5,0,1,0,0,0,0,,,,,
Alaska,Cities,,5,0,1,0,0,0,0,,,,,
Alaska,,Anchorage,5,0,1,0,0,0,0,0,0,4,2,"301,306"
Arizona,Total,,124,38,55,44,4,0,0,,,,,
Arizona,Cities,,117,35,47,44,3,0,0,,,,,
Arizona,,Apache Junction,0,0,0,1,0,0,0,0,0,0,1,"37,274"
Arizona,,Avondale,1,1,0,1,0,0,0,1,1,0,1,"79,472"
Arizona,,Chandler,1,0,0,0,0,0,0,1,0,0,0,"252,369"
Arizona,,Cottonwood,1,0,0,0,0,0,0,1,0,0,0,"11,490"
Arizona,,El Mirage,1,0,0,0,0,0,0,0,1,0,0,"33,307"
Arizona,,Flagstaff,0,0,1,0,0,0,0,0,0,0,1,"69,490"
Arizona,,Gilbert,2,0,0,0,0,0,0,1,0,1,0,"235,430"
Arizona,,Glendale,4,2,2,1,0,0,0,2,3,3,1,"236,780"
Arizona,,Goodyear,1,0,0,0,0,0,0,1,0,0,0,"74,826"
Arizona,,Kingman,0,1,1,0,0,0,0,0,1,1,0,"28,526"
Arizona,,Mesa,4,1,3,2,0,0,0,0,3,1,6,"462,092"
Arizona,,Oro Valley,0,1,0,0,0,0,0,0,1,0,0,"41,764"
Arizona,,Phoenix,91,19,35,35,3,0,0,37,41,47,58,"1,529,852"
Arizona,,Scottsdale,2,1,1,1,0,0,0,2,0,1,2,"229,325"
Arizona,,Tempe,1,1,0,0,0,0,0,1,0,0,1,"169,812"
Arizona,,Tucson,4,2,3,0,0,0,0,1,4,3,1,"527,328"
Arizona,,Yuma,4,6,1,3,0,0,0,5,7,2,0,"92,075"
Arizona,Universities and Colleges,,2,1,7,0,0,0,0,,,,,
Arizona,,Northern Arizona University,2,1,7,0,0,0,0,8,0,1,1,"26,594"
Arizona,Metropolitan Counties,,5,2,1,0,1,0,0,,,,,
Arizona,,Maricopa,3,0,1,0,0,0,0,1,0,2,1,
Arizona,,Pinal,0,1,0,0,0,0,0,0,1,0,0,
Arizona,,Yavapai,1,0,0,0,0,0,0,0,,1,0,
Arizona,,Yuma,1,1,0,0,1,0,0,1,1,1,0,
Arkansas,Total,,5,1,1,1,0,0,0,,,,,
Arkansas,Cities,,3,1,1,0,0,0,0,,,,,
