,FIPS,County Name,State,Population,2012 Crimes,"2012 Crime Rate Per 10,000",2013 Crimes,"2013 Crime Rate Per 10,000",2014 Crimes,"2014 Crime Rate Per 10,000",2015 Crimes,"2015 Crime Rate Per 10,000",2016 Crimes,"2016 Crime Rate Per 10,000",Total Crimes,2012-2016 Combined Crime Rate,2012-2016 Average Crime Rate
0,01001,Autauga,Alabama,55049.0,0.0,0.0,2.0,3.633,4.0,7.266,1.0,1.817,0.0,0.0,7.0,0.0,2.5432
1,01003,Baldwin,Alabama,199510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.501,1.0,0.0,0.1002
2,01073,Jefferson,Alabama,659096.0,6.0,0.91,0.0,0.0,3.0,0.455,7.0,1.062,11.0,1.669,27.0,0.91,0.8192
3,01077,Lauderdale,Alabama,92641.0,0.0,0.0,2.0,2.159,0.0,0.0,0.0,0.0,1.0,1.079,3.0,0.0,0.6476
4,01121,Talladega,Alabama,81057.0,0.0,0.0,0.0,0.0,2.0,2.467,0.0,0.0,0.0,0.0,2.0,0.0,0.4934
5,01125,Tuscaloosa,Alabama,202471.0,0.0,0.0,1.0,0.494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0988
6,02020,Anchorage,Alaska,299321.0,6.0,2.005,8.0,2.673,5.0,1.67,4.0,1.336,4.0,1.336,27.0,2.005,1.8039999999999998
7,02090,Fairbanks North Star,Alaska,100150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999,0.0,0.0,1.0,0.0,0.1998
8,02110,Juneau,Alaska,32524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.448,6.0,0.0,3.6896
9,02122,Kenai Peninsula,Alaska,57637.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.735,0.0,0.0,1.0,0.0,0.34700000000000003
10,02170,Matanuska-Susitna,Alaska,98679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.013,1.0,0.0,0.20259999999999997
