,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,_merge,Twitter Handle,Alternate,Twitter
0,Alabama,Birmingham,Birmingham,WBHM,FM,90.3,both,@WBHM,,Twitter
1,Alabama,Dothan,Dothan,WRWA,FM,88.7,both,@troypublicradio,,Twitter
2,Alabama,Gadsden,Gadsden,WSGN,FM,91.5,both,@WBHM903,,Twitter
3,Alabama,Huntsville,Huntsville,WJAB,FM,90.9,both,@WJAB-TV,,Twitter
4,Alabama,Huntsville,Huntsville,WLRH,FM,89.3,both,@WLRH_893FMHD,,Twitter
5,Alabama,Jacksonville,Jacksonville,WLJS,FM,91.9,both,@WLJS_919,,Twitter
6,Alabama,Mobile,Mobile,WHIL,FM,91.3,both,@WHILFM,,Twitter
7,Alabama,Montgomery,Montgomery,WVAS,FM,90.7,both,@WVAS,,Twitter
8,Alabama,Montgomery/Troy,Montgomery/Troy,WTSU,FM,89.9,both,@troypublicradio,,Twitter
9,Alabama,Muscle Shoals,Muscle Shoals,WQPR,FM,88.7,both,@Alpublicradio,,Twitter
10,Alabama,Selma,Selma,WAPR,FM,88.3,both,@Alpublicradio,,Twitter
11,Alabama,Tuscaloosa,Tuscaloosa,WUAL,FM,91.5,both,@Alpublicradio,,Twitter
12,Alaska,Anchorage,Anchorage,KSKA,FM,91.1,both,@kska,,Twitter
13,Alaska,Barrow,Barrow,KBRW,AM,680.0,both,@kyuknews,,Twitter
14,Alaska,Barrow,Barrow,KBRW,FM,91.9,both,@kyuknews,,Twitter
15,Alaska,Bethel,Bethel,KYUK,AM,640.0,both,@kyuknews,,Twitter
16,Alaska,Chevak,Chevak,KCUK,FM,88.1,both,None,,Twitter
17,Alaska,Dillingham,Dillingham,KDLG,AM,670.0,both,@kdlgradio,,Twitter
18,Alaska,Fairbanks,Fairbanks,KUAC,FM,89.9,both,@kuacfmtv,,Twitter
19,Alaska,Galena,Galena,KIYU,AM,910.0,both,None,,Twitter
20,Alaska,Glennallen,Glennallen,KXGA,FM,90.5,both,None,,Twitter
21,Alaska,Haines,Haines,KHNS,FM,102.3,both,@KHNS_FM,,Twitter
22,Alaska,Homer,Homer,KBBI,AM,890.0,both,@KBBINews,,Twitter
23,Alaska,Juneau,Juneau,KTOO,FM,104.3,both,@KTOOpubmedia,,Twitter
24,Alaska,Kenai,Kenai,KDLL,FM,91.9,both,@pickle_hill,,Twitter
25,Alaska,Ketchikan,Ketchikan,KRBD,FM,105.9,both,@KRBDRadio,,Twitter
26,Alaska,Kodiak,Kodiak,KMXT,FM,100.1,both,@kmxtnews,,Twitter
27,Alaska,McCarthy,McCarthy,KXKM,FM,89.7,both,@kchuradio,,Twitter
28,Alaska,McGrath,,KSKO,AM,870.0,left_only,@89point5_KSKO,,Twitter
29,Alaska,Petersburg,Petersburg,KFSK,FM,100.9,both,@KFSK1,,Twitter
30,Alaska,Sitka,Sitka,KCAW,FM,104.7,both,@ravenradio,,Twitter
31,Alaska,St. Paul,,KUSB,FM,91.9,left_only,None,,Twitter
32,Alaska,Talkeetna,Talkeetna,KTNA,FM,88.5,both,@ktna,,Twitter
33,Alaska,Unalaska,,KIAL,AM,1450.0,left_only,None,,Twitter
34,Alaska,Valdez,Valdez,KCHU,AM,770.0,both,@kchuradio,,Twitter
35,Alaska,Wrangell,Wrangell,KSTK,FM,101.7,both,@kstkradio,,Twitter
36,Arizona,Flagstaff,Flagstaff,KPUB,FM,91.7,both,@AZPubRadio,,Twitter
37,Arizona,Flagstaff,Flagstaff,KNAU,FM,88.7,both,@AZPubRadio,,Twitter
38,Arizona,Grand Canyon,Grand Canyon,KNAG,FM,90.3,both,@AZPubRadio,,Twitter
39,Arizona,Page,Page,KNAD,FM,91.7,both,None,,Twitter
40,Arizona,Phoenix,Phoenix,KBAQ,FM,89.5,both,@kbaq,,Twitter
41,Arizona,Phoenix,Phoenix,KJZZ,FM,91.5,both,@kjzzphoenix,,Twitter
42,Arizona,Prescott,Prescott,KNAQ,FM,89.3,both,@AZPubRadio,,Twitter
43,Arizona,Show Low,Show Low,KNAA,FM,90.7,both,@AZPubRadio,,Twitter
44,Arizona,Tucson,Tucson,KUAZ,AM,1550.0,both,@azpm,,Twitter
45,Arizona,Tucson,Tucson,KUAZ,FM,89.1,both,@azpm,,Twitter
46,Arizona,White River,White River,KNNB,FM,88.1,both,None,,Twitter
47,Arizona,Yuma,,KAWC,AM,1320.0,left_only,@kawc,,Twitter
48,Arizona,Yuma,Yuma,KAWC,FM,88.9,both,@kawc,,Twitter
49,Arkansas,El Dorado,El Dorado,KBSA,FM,90.9,both,None,,Twitter
50,Arkansas,Fayetteville,Fayetteville,KUAF,FM,91.3,both,@kuaf,,Twitter
51,Arkansas,Jonesboro,Jonesboro,KASU,FM,91.9,both,@kasuradio,,Twitter
52,Arkansas,Little Rock,Little Rock,KLRE,FM,90.5,both,None,,Twitter
53,Arkansas,Little Rock,Little Rock,KUAR,FM,89.1,both,@kuarpublicradio,,Twitter
54,California,Arcata,Arcata,KHSU,FM,90.5,both,@905khsu,,Twitter
55,California,Bakersfield,Bakersfield,KPRX,FM,89.1,both,@kvpr,,Twitter
56,California,Burney,Burney,KNCA,FM,89.7,both,None,,Twitter
57,California,Chico,Chico,KCHO,FM,91.7,both,@nsprnews,,Twitter
58,California,Crescent City,Crescent City,KHSR,FM,91.9,both,None,,Twitter
59,California,Fresno,Fresno,KVPR,FM,89.3,both,@kvpr,,Twitter
60,California,Groveland,Groveland,KXSR,FM,91.7,both,None,,Twitter
61,California,Indio,Indio,KCRI,FM,89.3,both,@kcrw,,Twitter
62,California,Long Beach,,KKJZ,FM,88.1,left_only,@kjazz881,,Twitter
63,California,Los Angeles,Los Angeles,KUSC,FM,91.5,both,@classicalkusc,,Twitter
64,California,Mt. Shasta,Mount Shasta,KNSQ,FM,88.1,both,None,,Twitter
65,California,North Hollywood,,KPFK,FM,90.7,left_only,@KPFK,,Twitter
66,California,Northridge,Northridge,KCSN,FM,88.5,both,@885fmsocal,,Twitter
67,California,Oxnard,Oxnard,KCRU,FM,89.1,both,@kcrw,,Twitter
68,California,Pacific Grove,Seaside,KAZU,FM,90.3,both,@903kazu,,Twitter
69,California,Palm Springs,Palm Springs,KPSC,FM,88.5,both,@kspc,,Twitter
70,California,Pasadena,Los Angeles,KPCC,FM,89.3,both,@kpcc,,Twitter
71,California,Pasadena,Pasadena,KPCC,FM,89.3,both,@kpcc,,Twitter
72,California,Philo,Philo,KZYX,FM,90.7,both,@kzyxmusic,,Twitter
73,California,Redding,Redding,KFPR,FM,88.9,both,@nsprnews,,Twitter
74,California,Sacramento,,KXJZ,FM,88.9,left_only,@capradionews,,Twitter
75,California,Sacramento,,KXPR,FM,90.9,left_only,@capradionews,,Twitter
76,California,San Ardo,,KBDH,FM,91.7,left_only,None,,Twitter
77,California,San Bernardino,San Bernardino,KVCR,FM,91.9,both,@kvcr_tvfm,,Twitter
78,California,San Diego,San Diego,KPBS,FM,89.5,both,@kpbsnews,,Twitter
79,California,San Francisco,San Francisco,KALW,FM,91.7,both,@kalw,,Twitter
80,California,San Francisco,San Francisco,KQED,FM,88.5,both,@kqed,,Twitter
81,California,San Luis Obispo,San Luis Obispo,KCBX,FM,90.1,both,@kcbxfm,,Twitter
82,California,San Mateo,San Mateo,KCSM,FM,91.1,both,@kcsmjazz91,,Twitter
83,California,Santa Barbara,,KFAC,FM,88.7,left_only,@Classicalkusc,,Twitter
84,California,Santa Cruz,,KUSP,FM,88.9,left_only,@kusp,,Twitter
85,California,Santa Monica,Los Angeles,KCRW,FM,89.9,both,@kcrw,,Twitter
86,California,Santa Monica,Santa Monica,KCRW,FM,89.9,both,@kcrw,,Twitter
87,California,Santa Rosa,Santa Rosa,KRCB,FM,91.1,both,@krcbtv22,,Twitter
88,California,Stockton,Sacramento,KUOP,FM,91.3,both,@capradionews,,Twitter
89,California,Tahoe City,Tahoe City,KKTO,FM,90.5,both,@capradionews,,Twitter
90,California,Thousand Oaks,Thousand Oaks,KCLU,FM,88.3,both,@kclulive,,Twitter
91,California,Thousand Oaks,,KCPB,FM,91.1,left_only,None,,Twitter
92,California,Willits,Willits,KZYZ,FM,91.5,both,@kzyzfm,,Twitter
93,California,Yreka,Yreka,KNYR,FM,91.3,both,None,,Twitter
94,Colorado,Alamosa,Alamosa,KRZA,FM,88.7,both,@krzaradio,,Twitter
95,Colorado,Aspen,Aspen,KAJX,FM,91.5,both,@aspenpubradio,,Twitter
96,Colorado,Boulder,Boulder,KCFC,AM,1490.0,both,@copublicradio,,Twitter
97,Colorado,Carbondale,,KDNK,FM,90.5,left_only,@kdnkradio,,Twitter
98,Colorado,Colorado Springs,Colorado Springs,KRCC,FM,91.5,both,@krcc,,Twitter
99,Colorado,Cortez,Cortez,KSJD,FM,91.5,both,@ksjdradio,,Twitter
100,Colorado,Crested Butte,Crested Butte,KBUT,FM,90.3,both,@kbutradio,,Twitter
101,Colorado,Delta,Delta,KPRU,FM,103.3,both,@cprclassical,,Twitter
102,Colorado,Denver,,KCFR,AM,1340.0,left_only,@cprclassical,,Twitter
103,Colorado,Denver,Denver,KUVO,FM,89.3,both,@kuvojazz,,Twitter
104,Colorado,Denver,,KVOD,FM,90.1,left_only,@cprclassical,,Twitter
105,Colorado,Grand Junction,Grand Junction,KPRN,FM,89.5,both,None,,Twitter
106,Colorado,Greeley,Greeley,KUNC,FM,91.5,both,@kunc,,Twitter
107,Colorado,Ignacio,Ignacio,KSUT,FM,91.3,both,@ksut,,Twitter
108,Colorado,Montrose,Montrose,KPRH,FM,88.3,both,@copublicradio,,Twitter
109,Colorado,Montrose,Montrose,KVMT,FM,89.1,both,@kvnfradio,,Twitter
110,Colorado,Paonia,Paonia,KVNF,FM,90.9,both,@kvnfradio,,Twitter
111,Colorado,Pueblo,Pueblo,KCFP,FM,91.9,both,@copublicradio,,Twitter
112,Colorado,Pueblo,Pueblo,KKPC,AM,1230.0,both,@copublicradio,,Twitter
113,Colorado,Telluride,Telluride,KOTO,FM,91.7,both,@koto_radio,,Twitter
114,Colorado,Vail,Vail,KPRE,FM,89.9,both,@copublicradio,,Twitter
115,Connecticut,Fairfield,Fairfield,WSHU,FM,91.1,both,@wshupublicradio,,Twitter
116,Connecticut,Meriden,,WPKT,FM,90.5,left_only,@wnpr,,Twitter
117,Connecticut,Norwich,,WNPR,FM,89.1,left_only,@wnpr,,Twitter
118,Connecticut,Stamford,Stamford,WEDW,FM,88.5,both,@wnpr,,Twitter
119,Connecticut,Westport,Westport,WSHU,AM,1260.0,both,@wshupublicradio,,Twitter
120,Connecticut,Willimantic,Willimantic,WECS,FM,90.1,both,@wecsfm,,Twitter
121,Delaware,Dover,Dover,WRTX,FM,91.7,both,@wrtimusic,,Twitter
122,District of Columbia,Washington,Washington,WAMU,FM,88.5,both,@wamu885,,Twitter
123,District of Columbia,Washington,Washington,WETA,FM,90.9,both,@wetatvfm,,Twitter
124,Florida,Ft. Myers,Ft. Myers,WGCU,FM,90.1,both,@wgcu,,Twitter
125,Florida,Ft. Pierce,Ft. Pierce,WQCS,FM,88.9,both,@wqcsnews,,Twitter
126,Florida,Gainesville,Gainesville,WUFT,FM,89.1,both,@wuftnews,,Twitter
127,Florida,Inverness,Inverness,WJUF,FM,90.1,both,@wuftmedia,,Twitter
128,Florida,Jacksonville,Jacksonville,WJCT,FM,89.9,both,@wjctjax,,Twitter
129,Florida,Marco,Marco,WMKO,FM,91.7,both,None,,Twitter
130,Florida,Melbourne,Melbourne,WFIT,FM,89.5,both,@wfit895fm,,Twitter
131,Florida,Miami,Miami,WLRN,FM,91.3,both,@wlrn,,Twitter
132,Florida,Orlando,Orlando,WMFE,FM,90.7,both,@wmfeorlando,,Twitter
133,Florida,Orlando,Orlando,WUCF,FM,89.9,both,@wucftv,,Twitter
