Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
702,Alaska,,Anchorage,KNBA,FM,90.3,@KNBA,@aprn,Twitter,right_only,Emptyatload
703,Alaska,,Juneau,KRNN,FM,102.7,None,,Twitter,right_only,Emptyatload
704,Alaska,,Juneau,KXLL,FM,100.7,None,,Twitter,right_only,Emptyatload
705,Alaska,,Kotzebue,KOTZ,AM,720,None,,Twitter,right_only,Emptyatload
706,Alaska,,Sand Point,KSDP,AM,830,None,,Twitter,right_only,Emptyatload
707,Alaska,,St. Paul,KUHB,FM,91.9,None,,Twitter,right_only,Emptyatload
708,Alaska,,Unalaska,KUCB,FM,89.7,@KUCBNews,,Twitter,right_only,Emptyatload
709,Arizona,,Hotevilla,KUYI,FM,88.1,None,,Twitter,right_only,Emptyatload
710,Arizona,,Tucson,KUAT,FM,90.5,None,,Twitter,right_only,Emptyatload
711,Arizona,,Yuma,KOFA,AM,1320,None,,Twitter,right_only,Emptyatload
712,California,,Angwin,KDFC,FM,89.9,@ClassicalKDFC,,Twitter,right_only,Emptyatload
713,California,,Bayside,KNHM,FM,91.5,None,,Twitter,right_only,Emptyatload
714,California,,Calexico,KQVO,FM,97.7,@kpbsnews,,Twitter,right_only,Emptyatload
715,California,,Coachella,KVLA,FM,90.3,@kvlatv,,Twitter,right_only,Emptyatload
716,California,,McCloud,KLDD,FM,91.9,@JPRnews,,Twitter,right_only,Emptyatload
717,California,,Mendocino,KPMO,AM,1300,None,,Twitter,right_only,Emptyatload
718,California,,Mojave,KCRY,FM,88.1,@kcrw,,Twitter,right_only,Emptyatload
719,California,,Morro Bay,KESC,FM,99.7,@classicalkusc,,Twitter,right_only,Emptyatload
720,California,,Mount Shasta,KMJC,AM,620,None,,Twitter,right_only,Emptyatload
721,California,,North Highlands,KQEI,FM,89.3,None,,Twitter,right_only,Emptyatload
722,California,,Quincy,KQNC,FM,88.1,@capradionews,,Twitter,right_only,Emptyatload
723,California,,Redlands,KUOR,FM,89.1,@scpr,,Twitter,right_only,Emptyatload
724,California,,Rio Dell,KNHT,FM,102.5,None,,Twitter,right_only,Emptyatload
725,California,,Sacramento,KXJZ,FM,90.9,None,,Twitter,right_only,Emptyatload
726,California,,Sacramento,KXPR,FM,88.9,@capradionews,,Twitter,right_only,Emptyatload
727,California,,San Ardo,KNBX,FM,91.7,@kcbxfm,,Twitter,right_only,Emptyatload
728,California,,San Diego,KSDS,FM,88.3,None,,Twitter,right_only,Emptyatload
729,California,,San Francisco,KUSF,FM,90.3,@kusforg,,Twitter,right_only,Emptyatload
730,California,,Santa Barbara,KDRW,FM,88.7,@kcrw,,Twitter,right_only,Emptyatload
731,California,,Santa Barbara,KCLU,AM,1340,@kclulive,,Twitter,right_only,Emptyatload
732,California,,Santa Barbara,KSBX,FM,89.5,@kcbxfm,,Twitter,right_only,Emptyatload
733,California,,Shasta Lake City,KJPR,AM,1330,None,,Twitter,right_only,Emptyatload
734,California,,Sutter,KXJS,FM,88.7,@capradionews,,Twitter,right_only,Emptyatload
735,California,,Thousand Oaks,KDSC,FM,91.1,@classicalKUSC,,Twitter,right_only,Emptyatload
736,California,,Yreka,KSYC,AM,1490,None,,Twitter,right_only,Emptyatload
737,Colorado,,Carbondale,KCJX,FM,88.9,@aspenpubradio,,Twitter,right_only,Emptyatload
738,Colorado,,Carbondale,KDNK,FM,88.1,@kdnkradio,,Twitter,right_only,Emptyatload
739,Colorado,,Carbondale,KVOV,FM,90.5,None,,Twitter,right_only,Emptyatload
740,Colorado,,Craig,KPYR,FM,88.3,None,,Twitter,right_only,Emptyatload
741,Colorado,,Denver,KCFR,FM,90.1,@COPublicRadio,,Twitter,right_only,Emptyatload
742,Colorado,,Denver,KVOD,FM,88.1,@COPublicRadio,,Twitter,right_only,Emptyatload
743,Colorado,,Fort Collins,KVXQ,FM,88.3,@COPublicRadio,,Twitter,right_only,Emptyatload
744,Colorado,,Ignacio,KUTE,FM,90.1,@ksut,,Twitter,right_only,Emptyatload
745,Colorado,,La Junta,KECC,FM,89.1,None,,Twitter,right_only,Emptyatload
746,Colorado,,Manitou Springs,KCME,FM,88.7,None,,Twitter,right_only,Emptyatload
747,Colorado,,Steamboat Springs,KRNC,FM,88.5,@kunc,,Twitter,right_only,Emptyatload
748,Connecticut,,Fairfield,WVOF,FM,88.5,@wvof885,,Twitter,right_only,Emptyatload
749,Connecticut,,Meriden,WNPR,FM,90.5,@wnpr,,Twitter,right_only,Emptyatload
750,Connecticut,,Middletown,WESU,FM,88.1,@WESUmiddletown,,Twitter,right_only,Emptyatload
751,Connecticut,,Norwich,WPKT,FM,89.1,None,,Twitter,right_only,Emptyatload
752,Connecticut,,Sharon,WHDD,AM,1020,None,,Twitter,right_only,Emptyatload
753,Connecticut,,Sharon,WHDD,FM,91.9,None,,Twitter,right_only,Emptyatload
754,Connecticut,,Sharon,WQQQ,FM,103.3,@wqqq,,Twitter,right_only,Emptyatload
755,Delaware,,Dover,WDDE,FM,91.1,@wdde,,Twitter,right_only,Emptyatload
756,Delaware,,Wilmington,WMPH,FM,91.7,None,,Twitter,right_only,Emptyatload
757,Florida,,"Marathon/Key West, Florida",WKWM,FM,91.5,None,,Twitter,right_only,Emptyatload
758,Florida,,Miami,WDNA,FM,88.9,@wdnaradio,,Twitter,right_only,Emptyatload
759,Florida,,Sarasota,WSMR,FM,89.1,@wusf,,Twitter,right_only,Emptyatload
760,Georgia,,Carrollton,WUWG,FM,90.7,None,,Twitter,right_only,Emptyatload
761,Georgia,,Chatsworth,WNGH,FM,98.9,@gpbnews,@mygpb,Twitter,right_only,Emptyatload
762,Georgia,,Folkston,WATY,FM,91.3,None,,Twitter,right_only,Emptyatload
763,Georgia,,Macon,WMUM,FM,89.7,@gpbmacon,,Twitter,right_only,Emptyatload
764,Georgia,,Rome,WGPB,FM,97.7,@gpbnews,@mygpb,Twitter,right_only,Emptyatload
765,Georgia,,Thomasville,WFSL,FM,90.7,None,,Twitter,right_only,Emptyatload
766,Hawaii,,Hilo,KANO,FM,89.1,None,,Twitter,right_only,Emptyatload
767,Hawaii,,Wailuku,KIPM,FM,89.7,None,,Twitter,right_only,Emptyatload
