TwitterHandle,City,StateAbrr
@KMSSTV,Shreveport,LA
@kvoa,Tucson,AZ
@FaceofFox43,Norfolk,VA
@thewbdotcom,Burbank,CA
@GulfCoastCWCreW,Mobile,AL
@cwmontana,Helena,MT
@DaytonsCW,Dayton,OH
@CW27dotCOM,Norfolk,VA
@39News,Houston,TX
@CW_Savannah,Savannah,GA
@CW44_Tampa,Tampa,FL
@KAUZNEWS,Wichita Falls,TX
@AztecaColorado,Denver,CO
@Azteca_America,Los Angeles,CA
@Univision23,Miami,FL
@Univision62,Austin,TX
@Telemundo,Miami,FL
@Telemundo33kcso,Sacramento,CA
@telemundo_wtmo,Orlando,FL
@T30_Telemundo,Oklahoma City,OK
@telemu,Nashville,TN
@TelemundoNY,New York,NY
@TelemundoChgo,Chicago,IL
@TelemundoDallas,Dallas,TX
@TELEMUNDO51,Miami,FL
@Telemundo_Nola,New Orleans,LA
@NOLA38,New Orleans,LA
@WBRZ,Baton Rouge,LA
@23NewsRightNow,Rockford,IL
@NBCActionNews,Kansas City,MO
@FCN2go,Jacksonsville,FL
@FCN2go,Jacksonville,FL
@wlns,Lansing,MI
@wboc,Salisbury,MD
@KKCOLocal,Grand Junction,CO
@NC5,Nashville,TN
@News12LI,Long Island,NY
@News12NJ,Edison,NJ
@CapitalNews9,Albany,NY
@ktvn,Reno,NV
@NBC26,Green Bay,WI
@KULR,Billings,MT
@univisioncorp,New York City,NY
@WNEMTV5news,Bay City,MI
@/knvotv48,McAllen,TX
@/kfxkfox51,Longview,TX
@/FOX9,Yuma,AZ
@KLFY,Lafayette,LA
@KWKTFOX44,Waco,TX
@kdbctv,El Paso,TX
@KDLTNews,Sioux Falls,SD
@wltx,Columbia,SC
@MPBOnline,Oxford,MS
@MPBOnline,Starkville,MS
@MPBOnline,Meridian,MS
@MPBOnline,Greenwood,MS
@MPBOnline,Bude,MS
@MPBOnline,Booneville,MS
@MPBOnline,Biloxi,MS
@MPBOnline,Jackson,MS
@FOX40NOW,Jackson,MS
@news5wcyb,Bristol,VA
@WQPT,Moline,IL
@16WAPTNews,Jackson,MS
@WTOK,Meridian,MS
@TurnTo23,Bakersfield,CA
@wbbjtv,Jackson,TN
@4StatesNews,Joplin,MO
@4StatesNews,Joplin,MO
@abcseven,Fort Myers,FL
@KJCTNews8,Grand Junction,CO
@kgun9,Tucson,AZ
@WTEN,Albany,NY
@ABC26_WGNO,New Orleans,LA
@WWAY,Wilmington,NC
@4029news,Ft. Smith,AR
@FOX2News,Detroit,MI
@montgomerycw,Montgomery,AL
@TheCWGaBama,Columbus,GA
@FOXBaltimore,Baltimore,MD
@Fox4Now,Fort Myers,FL
@wjznews,Baltimore,MD
@WBKO,Bowling Green,KY
@WGEM,Quincy,IL
@WVVA,Bluefield,WV
@nncnow,Duluth,MN
@nncnow,Duluth,MN
@TODAYSTMJ4,Milwaukee,WI
@WAOW,Eau Claire,WI
@weau13news,Eau Claire,WI
@WFXS,Wausau,WI
@fox11news,Green Bay,WI
@CBS8,San Diego,CA
@WBAY2,Green Bay,WI
@13wmaznews,Macon,GA
@Local2Breaking,Houston,TX
@wciu,Chicago,IL
@tricities_com,Johnson City,TN
@digtriad,Greensboro,NC
@wttw,Chicago,IL
@WPSU_PennState,Clearfield,PA
@KSMQ,Austin,MN
@fox13now,Salt Lake City,UT
@CBS58,Milwaukee,WI
@KXLH,Helena,MT
@KXLF,Butte,MT
@19ActionNews,Cleveland,OH
@my44,Evansville,IN
@WEVV,Evansville,IN
@WDRL24,Roanoke,VA
@cbs2kcal9,Los Angeles,CA
@WSTRtv64,Cincinnati,OH
@9and10News,Cadillac,MI
@KBMTNews,Beaumont,TX
@WLFI,West Lafayette,IN
@WKTV,Utica,NY
@FOX44NEWS,Colchester,VT
@WCTV,Tallahassee,FL
@foxprovidence,Providence,RI
@wdefnews12,Chattanooga,TN
@unctv,Chapel Hill,NC
@WLNYTV,New York City,NY
@WGBHboston,Boston,MA
@pbshawaii,Honolulu,HI
@KUTV2News,Salt Lake City,UT
@basinpbs,Odessa,TX
@WFSBnews,Hartford,CT
@foxcarolinanews,Greenville,SC
@theindychannel,Indianapolis,IN
@whnt,Huntsville,AL
@wflatampa,Tampa,FL
@WISN12News,Milwaukee,WI
@cw30slc,Salt Lake City,UT
@ABC30,Fresno,CA
@KSEE24,Fresno,CA
