State,Wiki_name_long,Wiki_name,Station Identifier,Channel Number,AM/FM,Dataset,Link
Alabama,"Birmingham, Alabama",Birmingham,WBHM,90.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Dothan, Alabama",Dothan,WRWA,88.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Gadsden, Alabama",Gadsden,WSGN,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Huntsville, Alabama",Huntsville,WJAB,90.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Huntsville, Alabama",Huntsville,WLRH,89.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Jacksonville, Alabama",Jacksonville,WLJS,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Mobile, Alabama",Mobile,WHIL,91.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Montgomery, Alabama",Montgomery,WVAS,90.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Montgomery, Alabama",Montgomery/Troy,WTSU,89.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Muscle Shoals, Alabama",Muscle Shoals,WQPR,88.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Selma, Alabama",Selma,WAPR,88.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alabama,"Tuscaloosa, Alabama",Tuscaloosa,WUAL,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Anchorage, Alaska",Anchorage,KSKA,91.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Anchorage, Alaska",Anchorage,KNBA,90.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Barrow, Alaska",Barrow,KBRW,680,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Barrow, Alaska",Barrow,KBRW,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Bethel, Alaska",Bethel,KYUK,640,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Chevak, Alaska",Chevak,KCUK,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Dillingham, Alaska",Dillingham,KDLG,670,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Fairbanks, Alaska",Fairbanks,KUAC,89.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Galena, Alaska",Galena,KIYU,910,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Glennallen, Alaska",Glennallen,KXGA,90.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Haines, Alaska",Haines,KHNS,102.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Homer, Alaska",Homer,KBBI,890,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Juneau, Alaska",Juneau,KRNN,102.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Juneau, Alaska",Juneau,KTOO,104.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Juneau, Alaska",Juneau,KXLL,100.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Kenai, Alaska",Kenai,KDLL,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Ketchikan, Alaska",Ketchikan,KRBD,105.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Kodiak, Alaska",Kodiak,KMXT,100.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Kotzebue, Alaska",Kotzebue,KOTZ,720,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"McCarthy, Alaska",McCarthy,KXKM,89.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Petersburg, Alaska",Petersburg,KFSK,100.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Sand Point, Alaska",Sand Point,KSDP,830,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Sitka, Alaska",Sitka,KCAW,104.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"St. Paul, Alaska",St. Paul,KUHB,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Talkeetna, Alaska",Talkeetna,KTNA,88.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Unalaska, Alaska",Unalaska,KUCB,89.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
Alaska,"Valdez, Alaska",Valdez,KCHU,770,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
