Twitter,City,State,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate
Twitter,Birmingham,Alabama,WBHM,FM,90.3,@WBHM,
Twitter,Dothan,Alabama,WRWA,FM,88.7,@troypublicradio,
Twitter,Gadsden,Alabama,WSGN,FM,91.5,@WBHM903,
Twitter,Huntsville,Alabama,WJAB,FM,90.9,@WJAB-TV,
Twitter,Huntsville,Alabama,WLRH,FM,89.3,@WLRH_893FMHD,
Twitter,Jacksonville,Alabama,WLJS,FM,91.9,@WLJS_919,
Twitter,Mobile,Alabama,WHIL,FM,91.3,@WHILFM,
Twitter,Montgomery,Alabama,WVAS,FM,90.7,@WVAS,
Twitter,Montgomery/Troy,Alabama,WTSU,FM,89.9,@troypublicradio,
Twitter,Muscle Shoals,Alabama,WQPR,FM,88.7,@Alpublicradio,
Twitter,Selma,Alabama,WAPR,FM,88.3,@Alpublicradio,
Twitter,Tuscaloosa,Alabama,WUAL,FM,91.5,@Alpublicradio,
Twitter,Anchorage,Alaska,KSKA,FM,91.1,@kska,
Twitter,Barrow,Alaska,KBRW,AM,680,@kyuknews,
Twitter,Barrow,Alaska,KBRW,FM,91.9,@kyuknews,
Twitter,Bethel,Alaska,KYUK,AM,640,@kyuknews,
Twitter,Chevak,Alaska,KCUK,FM,88.1,None,
Twitter,Dillingham,Alaska,KDLG,AM,670,@kdlgradio,
Twitter,Fairbanks,Alaska,KUAC,FM,89.9,@kuacfmtv,
Twitter,Galena,Alaska,KIYU,AM,910,None,
Twitter,Glennallen,Alaska,KXGA,FM,90.5,None,
Twitter,Haines,Alaska,KHNS,FM,102.3,@KHNS_FM,
Twitter,Homer,Alaska,KBBI,AM,890,@KBBINews,
Twitter,Juneau,Alaska,KTOO,FM,104.3,@KTOOpubmedia,
Twitter,Kenai,Alaska,KDLL,FM,91.9,@pickle_hill,
Twitter,Ketchikan,Alaska,KRBD,FM,105.9,@KRBDRadio,
Twitter,Kodiak,Alaska,KMXT,FM,100.1,@kmxtnews,
Twitter,McCarthy,Alaska,KXKM,FM,89.7,@kchuradio,
Twitter,McGrath,Alaska,KSKO,AM,870,@89point5_KSKO,
Twitter,Petersburg,Alaska,KFSK,FM,100.9,@KFSK1,
Twitter,Sitka,Alaska,KCAW,FM,104.7,@ravenradio,
Twitter,St. Paul,Alaska,KUSB,FM,91.9,None,
Twitter,Talkeetna,Alaska,KTNA,FM,88.5,@ktna,
Twitter,Unalaska,Alaska,KIAL,AM,1450,None,
Twitter,Valdez,Alaska,KCHU,AM,770,@kchuradio,
Twitter,Wrangell,Alaska,KSTK,FM,101.7,@kstkradio,
Twitter,Flagstaff,Arizona,KPUB,FM,91.7,@AZPubRadio,
Twitter,Flagstaff,Arizona,KNAU,FM,88.7,@AZPubRadio,
Twitter,Grand Canyon,Arizona,KNAG,FM,90.3,@AZPubRadio,
Twitter,Page,Arizona,KNAD,FM,91.7,None,
Twitter,Phoenix,Arizona,KBAQ,FM,89.5,@kbaq,
Twitter,Phoenix,Arizona,KJZZ,FM,91.5,@kjzzphoenix,
Twitter,Prescott,Arizona,KNAQ,FM,89.3,@AZPubRadio,
Twitter,Show Low,Arizona,KNAA,FM,90.7,@AZPubRadio,
Twitter,Tucson,Arizona,KUAZ,AM,1550,@azpm,
Twitter,Tucson,Arizona,KUAZ,FM,89.1,@azpm,
Twitter,White River,Arizona,KNNB,FM,88.1,None,
Twitter,Yuma,Arizona,KAWC,AM,1320,@kawc,
Twitter,Yuma,Arizona,KAWC,FM,88.9,@kawc,
Twitter,El Dorado,Arkansas,KBSA,FM,90.9,None,
Twitter,Fayetteville,Arkansas,KUAF,FM,91.3,@kuaf,
Twitter,Jonesboro,Arkansas,KASU,FM,91.9,@kasuradio,
Twitter,Little Rock,Arkansas,KLRE,FM,90.5,None,
Twitter,Little Rock,Arkansas,KUAR,FM,89.1,@kuarpublicradio,
Twitter,Arcata,California,KHSU,FM,90.5,@905khsu,
Twitter,Bakersfield,California,KPRX,FM,89.1,@kvpr,
Twitter,Burney,California,KNCA,FM,89.7,None,
Twitter,Chico,California,KCHO,FM,91.7,@nsprnews,
Twitter,Crescent City,California,KHSR,FM,91.9,None,
Twitter,Fresno,California,KVPR,FM,89.3,@kvpr,
Twitter,Groveland,California,KXSR,FM,91.7,None,
Twitter,Indio,California,KCRI,FM,89.3,@kcrw,
Twitter,Long Beach,California,KKJZ,FM,88.1,@kjazz881,
Twitter,Los Angeles,California,KUSC,FM,91.5,@classicalkusc,
Twitter,Mt. Shasta,California,KNSQ,FM,88.1,None,
Twitter,North Hollywood,California,KPFK,FM,90.7,@KPFK,
Twitter,Northridge,California,KCSN,FM,88.5,@885fmsocal,
Twitter,Oxnard,California,KCRU,FM,89.1,@kcrw,
Twitter,Pacific Grove,California,KAZU,FM,90.3,@903kazu,
Twitter,Palm Springs,California,KPSC,FM,88.5,@kspc,
Twitter,Pasadena,California,KPCC,FM,89.3,@kpcc,
Twitter,Philo,California,KZYX,FM,90.7,@kzyxmusic,
Twitter,Redding,California,KFPR,FM,88.9,@nsprnews,
Twitter,Sacramento,California,KXJZ,FM,88.9,@capradionews,
Twitter,Sacramento,California,KXPR,FM,90.9,@capradionews,
Twitter,San Ardo,California,KBDH,FM,91.7,None,
Twitter,San Bernardino,California,KVCR,FM,91.9,@kvcr_tvfm,
Twitter,San Diego,California,KPBS,FM,89.5,@kpbsnews,
Twitter,San Francisco,California,KALW,FM,91.7,@kalw,
Twitter,San Francisco,California,KQED,FM,88.5,@kqed,
Twitter,San Luis Obispo,California,KCBX,FM,90.1,@kcbxfm,
Twitter,San Mateo,California,KCSM,FM,91.1,@kcsmjazz91,
Twitter,Santa Barbara,California,KFAC,FM,88.7,@Classicalkusc,
Twitter,Santa Cruz,California,KUSP,FM,88.9,@kusp,
Twitter,Santa Monica,California,KCRW,FM,89.9,@kcrw,
Twitter,Santa Rosa,California,KRCB,FM,91.1,@krcbtv22,
Twitter,Stockton,California,KUOP,FM,91.3,@capradionews,
Twitter,Tahoe City,California,KKTO,FM,90.5,@capradionews,
Twitter,Thousand Oaks,California,KCLU,FM,88.3,@kclulive,
Twitter,Thousand Oaks,California,KCPB,FM,91.1,None,
Twitter,Willits,California,KZYZ,FM,91.5,@kzyzfm,
Twitter,Yreka,California,KNYR,FM,91.3,None,
Twitter,Alamosa,Colorado,KRZA,FM,88.7,@krzaradio,
Twitter,Aspen,Colorado,KAJX,FM,91.5,@aspenpubradio,
Twitter,Boulder,Colorado,KCFC,AM,1490,@copublicradio,
Twitter,Carbondale,Colorado,KDNK,FM,90.5,@kdnkradio,
Twitter,Colorado Springs,Colorado,KRCC,FM,91.5,@krcc,
Twitter,Cortez,Colorado,KSJD,FM,91.5,@ksjdradio,
Twitter,Crested Butte,Colorado,KBUT,FM,90.3,@kbutradio,
Twitter,Delta,Colorado,KPRU,FM,103.3,@cprclassical,
Twitter,Denver,Colorado,KCFR,AM,1340,@cprclassical,
Twitter,Denver,Colorado,KUVO,FM,89.3,@kuvojazz,
Twitter,Denver,Colorado,KVOD,FM,90.1,@cprclassical,
Twitter,Grand Junction,Colorado,KPRN,FM,89.5,None,
Twitter,Greeley,Colorado,KUNC,FM,91.5,@kunc,
Twitter,Ignacio,Colorado,KSUT,FM,91.3,@ksut,
Twitter,Montrose,Colorado,KPRH,FM,88.3,@copublicradio,
Twitter,Montrose,Colorado,KVMT,FM,89.1,@kvnfradio,
Twitter,Paonia,Colorado,KVNF,FM,90.9,@kvnfradio,
Twitter,Pueblo,Colorado,KCFP,FM,91.9,@copublicradio,
Twitter,Pueblo,Colorado,KKPC,AM,1230,@copublicradio,
Twitter,Telluride,Colorado,KOTO,FM,91.7,@koto_radio,
Twitter,Vail,Colorado,KPRE,FM,89.9,@copublicradio,
Twitter,Fairfield,Connecticut,WSHU,FM,91.1,@wshupublicradio,
Twitter,Meriden,Connecticut,WPKT,FM,90.5,@wnpr,
Twitter,Norwich,Connecticut,WNPR,FM,89.1,@wnpr,
Twitter,Stamford,Connecticut,WEDW,FM,88.5,@wnpr,
Twitter,Westport,Connecticut,WSHU,AM,1260,@wshupublicradio,
Twitter,Willimantic,Connecticut,WECS,FM,90.1,@wecsfm,
Twitter,Dover,Delaware,WRTX,FM,91.7,@wrtimusic,
Twitter,Washington,District of Columbia,WAMU,FM,88.5,@wamu885,
Twitter,Washington,District of Columbia,WETA,FM,90.9,@wetatvfm,
Twitter,Ft. Myers,Florida,WGCU,FM,90.1,@wgcu,
Twitter,Ft. Pierce,Florida,WQCS,FM,88.9,@wqcsnews,
Twitter,Gainesville,Florida,WUFT,FM,89.1,@wuftnews,
Twitter,Inverness,Florida,WJUF,FM,90.1,@wuftmedia,
Twitter,Jacksonville,Florida,WJCT,FM,89.9,@wjctjax,
Twitter,Marco,Florida,WMKO,FM,91.7,None,
Twitter,Melbourne,Florida,WFIT,FM,89.5,@wfit895fm,
Twitter,Miami,Florida,WLRN,FM,91.3,@wlrn,
Twitter,Orlando,Florida,WMFE,FM,90.7,@wmfeorlando,
Twitter,Orlando,Florida,WUCF,FM,89.9,@wucftv,
Twitter,Panama City,Florida,WFSW,FM,89.1,@wfsu,
Twitter,Panama City,Florida,WKGC,AM,1480,@WKGCNews,
Twitter,Panama City,Florida,WKGC,FM,90.7,@WKGCNews,
Twitter,Pensacola,Florida,WUWF,FM,88.1,@wuwf,
Twitter,Tallahassee,Florida,WFSQ,FM,91.5,@wfsumedia,
Twitter,Tallahassee,Florida,WFSU,FM,88.9,@wfsumedia,
Twitter,Tampa,Florida,WMNF,FM,88.5,@wmnf,
Twitter,Tampa,Florida,WUSF,FM,89.7,@wusf,
Twitter,West Palm Beach,Florida,WXEL,FM,90.7,@wxeltv,
Twitter,Albany,Georgia,WUNV,FM,91.7,@mygpb,
Twitter,Athens,Georgia,WUGA,FM,91.7,@wugafm,
Twitter,Atlanta,Georgia,WABE,FM,90.1,@wabenews,
Twitter,Atlanta,Georgia,WCLK,FM,91.9,@Jazz919WCLKatl,
Twitter,Atlanta,Georgia,WRFG,FM,89.3,@wrfgatlanta,
Twitter,Augusta,Georgia,WACG,FM,90.7,@gpbradioaugusta,
Twitter,Brunswick,Georgia,WWIO,FM,89.1,@mygpb,
Twitter,Carrolton,Georgia,WWGC,FM,90.7,None,
Twitter,Columbus,Georgia,WTJB,FM,91.7,@TROYUNews,
Twitter,Dahlonega,Georgia,WNGU,FM,89.5,@mygpb,
Twitter,Demorest,Georgia,WPPR,FM,88.3,@mygpb,
Twitter,Ft. Gaines,Georgia,WJWV,FM,90.9,@mygpb,
Twitter,Macon,Georgia,WDCO,FM,89.7,@mygpb,
Twitter,Savannah,Georgia,WSVH,FM,91.1,@gpbsavannah,
Twitter,Tifton,Georgia,WABR,FM,91.1,@gpbsavannah,
Twitter,Valdosta,Georgia,WWET,FM,91.7,@mygpb,
Twitter,Warm Springs,Georgia,WJSP,FM,88.1,@gpbnewmedia,
Twitter,Waycross,Georgia,WXVS,FM,90.1,@mygpb,
Twitter,Agana,Guam,KPRG,FM,89.3,@kprgfm,
Twitter,Honolulu,Hawaii,KHPR,FM,88.1,@wearehpr,
Twitter,Honolulu,Hawaii,KIPO,FM,89.3,@wearehpr,
Twitter,Wailuku,Hawaii,KKUA,FM,90.7,None,
Twitter,Boise,Idaho,KBSU,AM,730,@kbsu903,
Twitter,Boise,Idaho,KBSU,FM,90.3,@kbsu903,
Twitter,Boise,Idaho,KBSX,FM,91.5,@kbsx915,
Twitter,Bonners Ferry,Idaho,KIBX,FM,92.1,@sprlocalnews,
Twitter,Cottonwood,Idaho,KNWO,FM,90.1,None,
Twitter,McCall,Idaho,KBSM,FM,91.7,@KBSX915,
Twitter,Moscow,Idaho,KRFA,FM,91.7,@nwpbclassical,
Twitter,Pocatello,Idaho,KISU,FM,91.1,None,
Twitter,Rexburg,Idaho,KBYI,FM,100.5,@byuidahoradio,
Twitter,Twin Falls,Idaho,KEJZ,AM,1450,None,
Twitter,Twin Falls,Idaho,KBSW,FM,91.7,@BSX915,
Twitter,Carbondale,Illinois,WSIU,FM,91.9,@wsiutv,
Twitter,Champaign,Illinois,WEFT,FM,90.1,@WFETradio,
Twitter,Chicago,Illinois,WBEZ,FM,91.5,@wbez,
Twitter,DeKalb,Illinois,WNIU,FM,90.5,@classicalwniu,
Twitter,Edwardsville,Illinois,WSIE,FM,88.7,@wsie887thesound,
Twitter,Freeport,Illinois,WNIE,FM,89.1,None,
Twitter,LaSalle,Illinois,WNIW,FM,91.5,@tristatespr,
Twitter,Macomb,Illinois,WIUM,FM,91.3,@tristatespr,
Twitter,Mt.Vernon,Illinois,WVSI,FM,88.9,@wsiuradio,
Twitter,Normal,Illinois,WGLT,FM,89.1,@wgltnews,
Twitter,Olney,Illinois,WUSI,FM,90.3,@wsiuradio,
Twitter,Peoria,Illinois,WCBU,FM,89.9,@WCBURadio,
Twitter,Pittsfield,Illinois,WIPA,FM,89.3,@wqub,
Twitter,Quincy,Illinois,WQUB,FM,90.3,None,
Twitter,Rock Island,Illinois,WVIK,FM,90.3,@wvikfm,
Twitter,Rockford,Illinois,WNIJ,FM,89.5,@wnijnews,
Twitter,Springfield,Illinois,WUIS,FM,91.9,@nprillinois,
Twitter,Sterling,Illinois,WNIQ,FM,91.5,@wnijnews,
Twitter,Urbana,Illinois,WILL,AM,580,@willpublicmedia,
Twitter,Urbana,Illinois,WILL,FM,90.9,@willpublicmedia,
Twitter,Warsaw,Illinois,WIUW,FM,89.5,None,
Twitter,Anderson,Indiana,WBSB,FM,89.5,@INPublicRadio,
Twitter,Bloomington,Indiana,WFIU,FM,103.7,@wfiu,
Twitter,Elkhart,Indiana,WVPE,FM,88.1,@wvpe,
Twitter,Evansville,Indiana,WNIN,FM,88.3,@WNIN,
Twitter,Fort Wayne,Indiana,WBNI,FM,89.1,@WBNI941,
Twitter,Goshen,Indiana,WGCS,FM,91.1,@911TheGlobe,
Twitter,Hagerstown,Indiana,WBSH,FM,91.1,@INPublicRadio,
Twitter,Indianapolis,Indiana,WFYI,FM,90.1,@wfyi,
Twitter,Lafayette,Indiana,WBAA,AM,920,@wbaanews,@wbaaradio
Twitter,Marion,Indiana,WBSW,FM,90.9,@INPublicRadio,
Twitter,Muncie,Indiana,WBST,FM,92.1,@INPublicRadio,
Twitter,North Manchester,Indiana,WBKE,FM,89.5,None,
Twitter,Orland,Indiana,WBOI,FM,91.3,@wboi,
Twitter,Portland,Indiana,WBSJ,FM,91.7,@INpublicradio,
Twitter,Richmond,Indiana,WVXR,FM,89.3,None,
Twitter,West Lafayette,Indiana,WBAA,FM,101.3,@wbaaradio,@wbaanews
Twitter,Ames,Iowa,WOI,AM,640,@iowapublicradio,
Twitter,Ames,Iowa,WOI,FM,90.1,@iowapublicradio,
Twitter,Cedar Falls,Iowa,KUNI,FM,90.9,@iowapublicradio,
Twitter,Cedar Rapids,Iowa,KCCK,FM,88.3,@jazz883kcck,
Twitter,Decorah,Iowa,KLNI,FM,88.7,None,
Twitter,Fort Dodge,Iowa,KTPR,FM,91.1,None,
Twitter,Iowa City,Iowa,WSUI,AM,910,@iowapublicradio,
Twitter,Iowa City,Iowa,KSUI,FM,91.7,@iowapublicradio,
Twitter,Mason City,Iowa,KRNI,AM,1010,@iowapublicradio,
Twitter,Mason City,Iowa,KUNY,FM,91.5,None,
Twitter,Sioux City,Iowa,KWIT,FM,90.3,@kwitkoji,
Twitter,Emporia,Kansas,KANH,FM,89.7,@kprnews,
Twitter,Garden City,Kansas,KANZ,FM,91.1,@hppr,
Twitter,Great Bend,Kansas,KHCT,FM,90.9,None,
Twitter,Hill City,Kansas,KZNA,FM,90.5,@hppr,
Twitter,Hutchinson,Kansas,KHCC,FM,90.1,@radiokansas,
Twitter,Lawrence,Kansas,KANU,FM,91.5,@kprnews,
