State,Agency type,Agency name,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Alabama,Total,,5,0,1,0,0,0,0,,,,,
Alabama,Cities,,5,0,1,0,0,0,0,,,,,
Alabama,,Florence,2,0,0,0,0,0,0,0,1,0,1,"39,481"
Alabama,,Hoover,0,0,1,0,0,0,0,0,1,0,0,"84,139"
Alabama,,Prattville,2,0,0,0,0,0,0,1,0,1,0,"35,154"
Alabama,,Tuscaloosa,1,0,0,0,0,0,0,0,0,1,0,"94,126"
Alaska,Total, ,8,0,0,0,0,0,0,,,,,
Alaska,Cities,,8,0,0,0,0,,,,,,,
Alaska,,Anchorage,8,0,0,0,0,0,0,2,3,3,0,"299,455"
Arizona,Total,,73,30,27,24,1,0,0,,,,,
Arizona,Cities,,68,27,25,23,1,0,0,,,,,
Arizona,,Apache Junction,1,0,0,0,0,0,0,1,0,0,,"36,626"
Arizona,,Avondale,4,0,0,1,0,0,0,1,1,3,0,"78,905"
Arizona,,Eagar,0,0,0,1,0,0,0,0,1,0,0,"5,034"
Arizona,,El Mirage,1,0,0,0,0,0,0,0,0,1,0,"32,837"
Arizona,,Gilbert,1,0,0,0,0,0,0,1,0,0,0,"225,232"
Arizona,,Glendale,2,3,1,1,0,0,0,2,0,3,2,"234,006"
Arizona,,Goodyear,0,0,2,0,0,0,0,1,,1,0,"71,048"
Arizona,,Maricopa,1,0,0,0,0,0,0,0,0,0,1,"44,871"
Arizona,,Mesa,1,1,0,0,0,0,0,2,0,0,0,"456,155"
Arizona,,Phoenix,40,12,14,14,1,0,0,25,21,35,,"1,502,139"
Arizona,,Prescott,0,0,0,1,0,0,0,0,0,0,1,"40,752"
Arizona,,Scottsdale,0,1,0,1,0,0,0,0,0,0,2,"225,523"
Arizona,,Tempe,1,0,2,0,0,0,0,2,0,1,0,"168,501"
Arizona,,Tucson,13,6,6,1,0,0,0,8,8,6,4,"525,486"
Arizona,,Yuma,3,4,0,3,0,0,0,3,5,0,2,"96,014"
