State,Agency Type,Agency name,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Alabama,Total,,12,1,1,0,0,0,,,,,
Alabama,Cities,,12,1,1,0,0,0,,,,,
Alabama,,Birmingham,7,1,1,0,0,0,3,2,2,2,"212,549"
Alabama,,Florence,1,0,0,0,0,0,0,0,1,0,"40,160"
Alabama,,Foley,1,0,0,0,0,0,0,1,0,0,"17,639"
Alabama,,Hoover,3,0,0,0,0,0,1,0,1,1,"85,601"
Alaska,Total,,11,0,0,0,0,0,,,,,
Alaska,Cities,,11,0,0,0,0,0,,,,,
Alaska,,Anchorage,4,0,0,0,0,0,1,0,2,1,"299,097"
Alaska,,Juneau,6,0,0,0,0,0,1,1,3,1,"32,964"
Alaska,,Wasilla,1,0,0,0,0,0,1,0,0,0,"9,585"
Arizona,Total, ,110,50,53,1,0,0,,,,,
Arizona,Cities,,105,48,53,1,0,0,,,,,
Arizona,,Apache Junction,2,0,0,0,0,0,1,0,1,0,"38,506"
Arizona,,Chandler,2,2,0,0,0,0,1,0,1,2,"265,922"
Arizona,,Gilbert,1,0,0,0,0,0,1,0,0,0,"255,899"
Arizona,,Glendale,1,0,0,0,0,0,0,1,0,0,"242,938"
Arizona,,Mesa,3,0,2,0,0,0,3,0,0,2,"478,277"
Arizona,,Phoenix,90,40,44,1,0,0,34,39,45,56,"1,586,611"
Arizona,,Prescott Valley,1,0,1,0,0,0,1,1,,,"42,900"
Arizona,,Sahuarita,1,0,0,0,0,0,0,0,0,1,"25,792"
Arizona,,Scottsdale,1,3,0,0,0,0,0,,2,2,"240,885"
Arizona,,St. Johns,0,0,1,0,0,0,1,0,0,0,"3,482"
Arizona,,Tempe,0,0,1,0,0,0,1,0,0,0,"178,654"
Arizona,,Tucson,1,2,2,0,0,0,2,1,1,1,"533,663"
Arizona,,Williams,0,0,1,0,0,0,0,1,0,0,"3,140"
Arizona,,Yuma,2,1,1,0,0,0,1,1,2,0,"94,696"
Arizona,Universities and Colleges,,1,2,0,0,0,0,,,,,
Arizona,,"Arizona State University, Main Campus",1,0,0,0,0,0,0,0,0,1,"90,906"
Arizona,,University of Arizona,0,2,0,0,0,0,0,2,,,"42,595"
Arizona,Metropolitan Counties,,4,0,0,0,0,0,,,,,
Arizona,,Maricopa,3,0,0,0,0,0,,0,3,0,
Arizona,,Pima,1,0,0,0,0,0,0,1,0,,
Arkansas,Total,,10,1,0,0,0,1,,,,,
Arkansas,Cities,,5,1,0,0,0,1,,,,,
Arkansas,,Fort Smith,3,1,0,0,0,0,2,0,0,2,"88,573"
Arkansas,,Jacksonville,2,0,0,0,0,0,0,0,0,2,"28,684"
Arkansas,,Little Rock,0,0,0,0,0,1,0,1,0,0,"198,800"
Arkansas,Metropolitan Counties,,3,0,0,0,0,0,,,,,
Arkansas,,Sebastian,3,0,0,0,0,0,0,1,0,2,
Arkansas,Nonmetropolitan Counties,,2,0,0,0,0,0,,,,,
Arkansas,,Sevier,2,0,0,0,0,0,0,0,2,0,
California,Total,,522,171,208,2,3,27,,,,,
California,Cities,,421,150,173,2,3,23,,,,,
California,,Adelanto,1,0,1,0,0,0,0,1,1,0,"33,479"
California,,Alameda,3,0,0,0,0,0,0,1,0,2,"79,597"
California,,Alhambra,1,0,0,0,0,0,0,0,0,1,"86,035"
California,,Anaheim,1,0,0,0,0,0,1,0,0,0,"353,504"
California,,Antioch,2,0,0,0,0,0,0,0,2,0,"112,090"
California,,Arcata,2,0,0,0,0,0,0,0,1,1,"17,913"
California,,Azusa,2,0,0,0,0,0,2,0,0,0,"50,393"
California,,Bakersfield,8,0,0,0,0,0,0,3,2,3,"378,788"
California,,Baldwin Park,0,0,1,0,0,0,1,0,0,0,"77,400"
California,,Bellflower,0,0,1,0,0,0,1,0,0,0,"78,806"
California,,Berkeley,9,2,2,0,0,0,5,3,2,3,"122,651"
California,,Beverly Hills,1,0,0,0,0,0,0,0,1,0,"35,018"
California,,Brea,0,0,1,0,0,0,0,1,0,0,"42,465"
California,,Buena Park,2,1,0,0,0,0,0,0,2,1,"83,768"
California,,Burbank,1,0,0,0,0,0,0,0,1,0,"105,720"
California,,Calabasas,3,0,0,0,0,0,1,0,2,0,"24,492"
California,,Camarillo,1,0,0,0,0,0,0,1,0,0,"68,072"
California,,Campbell,0,1,0,0,0,0,0,1,0,0,"41,457"
California,,Capitola,1,0,0,0,0,0,0,0,0,1,"10,241"
California,,Central Marin,2,0,0,0,0,0,0,1,1,0,"35,265"
California,,Cerritos,0,0,1,0,0,0,0,0,1,0,"50,159"
California,,Chico,3,0,0,0,0,0,0,1,0,2,"91,122"
California,,Chino,2,0,1,0,0,0,0,1,1,1,"87,081"
California,,Chino Hills,1,0,0,0,0,0,1,0,0,0,"78,990"
California,,Chula Vista,1,2,2,0,0,0,1,1,3,0,"270,175"
California,,Citrus Heights,1,0,1,0,0,0,1,0,0,1,"87,811"
California,,Claremont,7,1,1,0,0,0,1,0,1,7,"36,553"
California,,Clayton,0,0,2,0,0,0,0,2,0,0,"12,057"
California,,Clearlake,1,0,0,0,0,0,0,0,0,1,"15,165"
California,,Clovis,1,0,0,0,0,0,0,0,1,0,"105,865"
California,,Coalinga,0,0,1,0,0,0,1,0,0,0,"16,282"
California,,Compton,0,0,0,0,0,1,0,0,1,0,"98,861"
California,,Concord,1,0,2,0,0,0,1,0,0,2,"129,903"
California,,Culver City,0,0,1,0,0,0,0,1,0,0,"39,880"
California,,Cupertino,2,1,0,0,0,0,0,0,3,0,"60,948"
California,,Danville,0,1,0,0,0,0,1,0,0,0,"44,897"
California,,Davis,5,1,1,0,0,1,2,0,1,5,"68,087"
California,,Desert Hot Springs,0,0,1,0,0,0,0,1,0,0,"28,573"
California,,Downey,1,0,0,0,0,0,0,1,0,0,"114,704"
California,,East Palo Alto,0,0,1,0,0,0,0,0,0,1,"29,957"
California,,Eastvale,0,1,0,0,0,0,0,1,0,0,"60,115"
California,,Elk Grove,1,0,0,0,0,0,1,0,0,0,"169,742"
California,,El Segundo,2,0,0,0,0,0,1,0,1,0,"17,113"
California,,Encinitas,1,0,0,0,0,0,0,0,0,1,"63,597"
California,,Escondido,1,0,0,0,0,0,0,1,0,0,"152,897"
California,,Fairfield,1,1,1,0,0,0,2,0,1,0,"114,521"
California,,Farmersville,0,1,0,0,0,0,0,0,1,0,"10,812"
California,,Folsom,0,1,0,0,0,0,0,1,0,0,"77,245"
California,,Fort Bragg,1,1,1,0,0,0,0,2,1,0,"7,292"
