,State,Agency name,Latitude,Longitude,2012 Crimes,2013 Crimes,2014 Crimes,2015 Crimes,2016 Crimes,Total Crimes
0,Alabama,Birmingham,33.5206608,-86.80248999999999,0.0,0.0,0.0,3.0,8.0,11.0
1,Alabama,Fairfield,33.4859402,-86.91193659999999,0.0,0.0,1.0,0.0,0.0,1.0
2,Alabama,Florence,34.79981,-87.677251,0.0,2.0,0.0,0.0,1.0,3.0
3,Alabama,Foley,30.4065868,-87.6835974,0.0,0.0,0.0,0.0,1.0,1.0
4,Alabama,Hoover,33.4053867,-86.8113781,6.0,0.0,2.0,4.0,3.0,15.0
5,Alabama,Prattville,32.4640245,-86.4596966,0.0,2.0,4.0,1.0,0.0,7.0
6,Alabama,Sylacauga,33.1731716,-86.2516406,0.0,0.0,2.0,0.0,0.0,2.0
7,Alabama,Tuscaloosa,33.2098407,-87.56917349999999,0.0,1.0,0.0,0.0,0.0,1.0
8,Alaska,Anchorage,61.2180556,-149.9002778,6.0,8.0,5.0,4.0,4.0,27.0
9,Alaska,Juneau,58.3019444,-134.4197221,0.0,0.0,0.0,0.0,6.0,6.0
10,Alaska,Kotzebue,66.89833329999999,-162.5966666,0.0,0.0,0.0,1.0,0.0,1.0
11,Alaska,North Pole,64.7511111,-147.3494443,0.0,0.0,0.0,1.0,0.0,1.0
12,Alaska,Soldotna,60.4877778,-151.0583332,0.0,0.0,0.0,1.0,0.0,1.0
13,Alaska,Wasilla,61.5813889,-149.4394444,0.0,0.0,0.0,0.0,1.0,1.0
14,Arizona,Apache Junction,33.4150485,-111.5495777,1.0,1.0,1.0,2.0,2.0,7.0
15,Arizona,"Arizona State University, Main Campus",33.4535383,-112.0731216,1.0,0.0,0.0,2.0,1.0,4.0
16,Arizona,Avondale,33.4355977,-112.3496021,0.0,5.0,3.0,2.0,0.0,10.0
17,Arizona,Chandler,33.3061605,-111.8412502,0.0,0.0,1.0,1.0,4.0,6.0
18,Arizona,Coolidge,32.977839,-111.517624,1.0,0.0,0.0,0.0,0.0,1.0
19,Arizona,Cottonwood,34.7391876,-112.0098791,0.0,0.0,1.0,0.0,0.0,1.0
20,Arizona,Eagar,34.1111581,-109.291475,0.0,1.0,0.0,0.0,0.0,1.0
21,Arizona,El Mirage,33.6130942,-112.3246042,0.0,1.0,1.0,1.0,0.0,3.0
22,Arizona,Flagstaff,35.1982836,-111.651302,3.0,0.0,0.0,0.0,0.0,3.0
23,Arizona,Gilbert,33.3528264,-111.789027,2.0,1.0,2.0,4.0,1.0,10.0
24,Arizona,Glendale,33.5386523,-112.1859866,6.0,6.0,7.0,7.0,1.0,27.0
25,Arizona,Goodyear,33.4353394,-112.3576567,0.0,0.0,1.0,0.0,0.0,1.0
26,Arizona,Holbrook,34.9022482,-110.1581768,0.0,0.0,0.0,0.0,0.0,0.0
27,Arizona,Kingman,35.189443,-114.0530065,0.0,0.0,1.0,0.0,0.0,1.0
28,Arizona,Maricopa,33.0581063,-112.0476423,2.0,1.0,0.0,0.0,0.0,3.0
29,Arizona,Mesa,33.4151843,-111.8314724,2.0,2.0,7.0,4.0,3.0,18.0
30,Arizona,Nogales,31.3403775,-110.9342532,0.0,0.0,0.0,1.0,0.0,1.0
31,Arizona,Northern Arizona University,35.1851895,-111.6547075,0.0,0.0,3.0,0.0,0.0,3.0
32,Arizona,Oro Valley,32.3909071,-110.966488,0.0,0.0,1.0,0.0,0.0,1.0
33,Arizona,Paradise Valley,33.5311541,-111.9426452,1.0,0.0,0.0,0.0,0.0,1.0
34,Arizona,Phoenix,33.4483771,-112.0740373,89.0,66.0,145.0,177.0,130.0,607.0
35,Arizona,Prescott,34.5400242,-112.4685025,0.0,1.0,0.0,1.0,0.0,2.0
36,Arizona,Prescott Valley,34.6100243,-112.315721,0.0,0.0,0.0,0.0,1.0,1.0
37,Arizona,Sahuarita,31.9575818,-110.955646,0.0,0.0,0.0,0.0,1.0,1.0
38,Arizona,Scottsdale,33.4941704,-111.9260519,3.0,2.0,4.0,2.0,4.0,15.0
39,Arizona,Show Low,34.2542084,-110.0298327,1.0,0.0,0.0,0.0,0.0,1.0
40,Arizona,St. Johns,34.5058698,-109.3609327,0.0,0.0,0.0,0.0,0.0,0.0
41,Arizona,Tempe,33.4255104,-111.9400054,3.0,1.0,2.0,0.0,0.0,6.0
42,Arizona,Tucson,32.2226066,-110.9747108,8.0,20.0,6.0,1.0,3.0,38.0
43,Arizona,University of Arizona,0.0,0.0,2.0,2.0,0.0,0.0,2.0,6.0
44,Arizona,Willcox,32.2528519,-109.8320124,0.0,0.0,0.0,0.0,0.0,0.0
45,Arizona,Williams,35.24945659999999,-112.1910031,0.0,0.0,0.0,0.0,0.0,0.0
46,Arizona,Yuma,32.6926512,-114.6276916,2.0,10.0,13.0,3.0,3.0,31.0
47,Arkansas,Benton,34.5645371,-92.586828,0.0,0.0,0.0,0.0,0.0,0.0
48,Arkansas,Bentonville,36.3728538,-94.2088172,2.0,1.0,0.0,0.0,0.0,3.0
49,Arkansas,Berryville,36.364792,-93.5679667,0.0,1.0,0.0,0.0,0.0,1.0
50,Arkansas,Bryant,34.5959265,-92.48904689999999,1.0,0.0,0.0,1.0,0.0,2.0
51,Arkansas,Cabot,34.974532,-92.0165336,0.0,1.0,0.0,0.0,0.0,1.0
52,Arkansas,England,34.5442609,-91.9690284,0.0,1.0,0.0,0.0,0.0,1.0
53,Arkansas,Fairfield Bay,35.5942441,-92.27793240000001,0.0,1.0,0.0,0.0,0.0,1.0
54,Arkansas,Fayetteville,36.082156,-94.17185420000001,1.0,0.0,0.0,0.0,0.0,1.0
55,Arkansas,Fort Smith,35.3859242,-94.39854749999999,0.0,1.0,3.0,0.0,4.0,8.0
56,Arkansas,Gurdon,33.9209365,-93.1540591,0.0,1.0,0.0,0.0,0.0,1.0
57,Arkansas,Jacksonville,34.8662005,-92.1101458,0.0,0.0,0.0,0.0,2.0,2.0
58,Arkansas,Jonesboro,35.84229670000001,-90.704279,1.0,0.0,0.0,0.0,0.0,1.0
59,Arkansas,Little Rock,34.7464809,-92.28959479999999,0.0,0.0,0.0,0.0,0.0,0.0
60,Arkansas,Marion,35.2145336,-90.1964835,0.0,0.0,0.0,0.0,0.0,0.0
61,Arkansas,McGehee,33.6255234,-91.3945566,1.0,0.0,0.0,0.0,0.0,1.0
62,Arkansas,Newport,35.6048018,-91.2817951,1.0,0.0,0.0,0.0,0.0,1.0
63,Arkansas,North Little Rock,34.769536,-92.2670941,0.0,1.0,0.0,0.0,0.0,1.0
64,Arkansas,Ola,35.0323119,-93.22323449999999,1.0,0.0,0.0,0.0,0.0,1.0
65,Arkansas,Paragould,36.0584021,-90.4973286,1.0,0.0,0.0,0.0,0.0,1.0
66,Arkansas,Pine Bluff,34.2284312,-92.00319549999999,1.0,0.0,0.0,0.0,0.0,1.0
67,Arkansas,Rogers,36.3320196,-94.1185366,0.0,1.0,1.0,0.0,0.0,2.0
68,Arkansas,Sherwood,34.8150907,-92.2243153,2.0,1.0,0.0,0.0,0.0,3.0
69,Arkansas,Springdale,36.18674420000001,-94.1288141,2.0,0.0,0.0,0.0,0.0,2.0
70,Arkansas,"University of Arkansas, Fayetteville",36.0678324,-94.17365509999999,0.0,0.0,1.0,0.0,0.0,1.0
71,Arkansas,"University of Arkansas, Pine Bluff",34.2468716,-92.0213392,0.0,0.0,0.0,0.0,0.0,0.0
72,California,Adelanto,34.5827699,-117.409215,1.0,2.0,2.0,0.0,1.0,6.0
73,California,Agoura Hills,34.1533395,-118.7616764,3.0,2.0,0.0,0.0,0.0,5.0
74,California,Alameda,37.7652065,-122.2416355,0.0,1.0,3.0,2.0,3.0,9.0
75,California,Alhambra,34.095287,-118.1270146,0.0,1.0,1.0,1.0,1.0,4.0
76,California,Aliso Viejo,33.5684605,-117.7262981,1.0,0.0,0.0,0.0,0.0,1.0
77,California,Allan Hancock College,34.9446133,-120.4189337,3.0,0.0,0.0,0.0,0.0,3.0
78,California,Anaheim,33.8365932,-117.9143012,0.0,0.0,0.0,0.0,1.0,1.0
79,California,Antioch,38.0049214,-121.805789,2.0,2.0,2.0,7.0,2.0,15.0
80,California,Apple Valley,34.5008311,-117.1858759,2.0,0.0,2.0,0.0,0.0,4.0
81,California,Arcadia,34.1397292,-118.0353449,0.0,1.0,0.0,0.0,0.0,1.0
82,California,Arcata,40.8665166,-124.0828396,1.0,0.0,1.0,0.0,2.0,4.0
83,California,Arvin,35.2017986,-118.833105,0.0,0.0,0.0,0.0,0.0,0.0
84,California,Atascadero,35.4894169,-120.6707255,0.0,2.0,0.0,0.0,0.0,2.0
85,California,Atwater,37.3477174,-120.609084,0.0,1.0,0.0,0.0,0.0,1.0
86,California,Auburn,38.8965654,-121.0768901,0.0,1.0,0.0,0.0,0.0,1.0
87,California,Azusa,34.1336186,-117.9075627,3.0,1.0,1.0,3.0,2.0,10.0
88,California,Bakersfield,35.3732921,-119.0187125,2.0,3.0,5.0,1.0,8.0,19.0
89,California,Baldwin Park,34.0852868,-117.9608978,0.0,0.0,0.0,0.0,0.0,0.0
90,California,Banning,33.9255713,-116.8764103,0.0,1.0,0.0,2.0,0.0,3.0
91,California,Barstow,34.8957957,-117.0172826,0.0,0.0,1.0,0.0,0.0,1.0
92,California,Bell Gardens,33.9652918,-118.1514588,0.0,0.0,0.0,2.0,0.0,2.0
93,California,Bellflower,33.8816818,-118.1170117,0.0,0.0,0.0,2.0,0.0,2.0
94,California,Benicia,38.049365,-122.1585777,0.0,0.0,0.0,0.0,0.0,0.0
95,California,Berkeley,37.8715926,-122.272747,7.0,9.0,3.0,3.0,11.0,33.0
96,California,Berkeley,37.8715926,-122.272747,7.0,9.0,3.0,3.0,3.0,25.0
97,California,Berkeley,37.8715926,-122.272747,7.0,9.0,3.0,2.0,11.0,32.0
98,California,Berkeley,37.8715926,-122.272747,7.0,9.0,3.0,2.0,3.0,24.0
99,California,Berkeley,37.8715926,-122.272747,7.0,9.0,4.0,3.0,11.0,34.0
100,California,Berkeley,37.8715926,-122.272747,7.0,9.0,4.0,3.0,3.0,26.0
101,California,Berkeley,37.8715926,-122.272747,7.0,9.0,4.0,2.0,11.0,33.0
102,California,Berkeley,37.8715926,-122.272747,7.0,9.0,4.0,2.0,3.0,25.0
103,California,Berkeley,37.8715926,-122.272747,7.0,6.0,3.0,3.0,11.0,30.0
104,California,Berkeley,37.8715926,-122.272747,7.0,6.0,3.0,3.0,3.0,22.0
105,California,Berkeley,37.8715926,-122.272747,7.0,6.0,3.0,2.0,11.0,29.0
106,California,Berkeley,37.8715926,-122.272747,7.0,6.0,3.0,2.0,3.0,21.0
107,California,Berkeley,37.8715926,-122.272747,7.0,6.0,4.0,3.0,11.0,31.0
108,California,Berkeley,37.8715926,-122.272747,7.0,6.0,4.0,3.0,3.0,23.0
109,California,Berkeley,37.8715926,-122.272747,7.0,6.0,4.0,2.0,11.0,30.0
110,California,Berkeley,37.8715926,-122.272747,7.0,6.0,4.0,2.0,3.0,22.0
111,California,Berkeley,37.8715926,-122.272747,4.0,9.0,3.0,3.0,11.0,30.0
112,California,Berkeley,37.8715926,-122.272747,4.0,9.0,3.0,3.0,3.0,22.0
113,California,Berkeley,37.8715926,-122.272747,4.0,9.0,3.0,2.0,11.0,29.0
114,California,Berkeley,37.8715926,-122.272747,4.0,9.0,3.0,2.0,3.0,21.0
115,California,Berkeley,37.8715926,-122.272747,4.0,9.0,4.0,3.0,11.0,31.0
116,California,Berkeley,37.8715926,-122.272747,4.0,9.0,4.0,3.0,3.0,23.0
117,California,Berkeley,37.8715926,-122.272747,4.0,9.0,4.0,2.0,11.0,30.0
118,California,Berkeley,37.8715926,-122.272747,4.0,9.0,4.0,2.0,3.0,22.0
119,California,Berkeley,37.8715926,-122.272747,4.0,6.0,3.0,3.0,11.0,27.0
120,California,Berkeley,37.8715926,-122.272747,4.0,6.0,3.0,3.0,3.0,19.0
121,California,Berkeley,37.8715926,-122.272747,4.0,6.0,3.0,2.0,11.0,26.0
122,California,Berkeley,37.8715926,-122.272747,4.0,6.0,3.0,2.0,3.0,18.0
123,California,Berkeley,37.8715926,-122.272747,4.0,6.0,4.0,3.0,11.0,28.0
124,California,Berkeley,37.8715926,-122.272747,4.0,6.0,4.0,3.0,3.0,20.0
125,California,Berkeley,37.8715926,-122.272747,4.0,6.0,4.0,2.0,11.0,27.0
126,California,Berkeley,37.8715926,-122.272747,4.0,6.0,4.0,2.0,3.0,19.0
127,California,Beverly Hills,34.0736204,-118.4003563,4.0,1.0,1.0,2.0,1.0,9.0
128,California,Brea,33.916475,-117.9002918,0.0,0.0,1.0,0.0,0.0,1.0
129,California,Brentwood,37.931868,-121.6957863,1.0,4.0,2.0,0.0,0.0,7.0
130,California,Brisbane,37.6807661,-122.3999715,0.0,0.0,0.0,1.0,0.0,1.0
131,California,Buellton,34.613597,-120.1926505,0.0,0.0,1.0,0.0,0.0,1.0
132,California,Buena Park,33.8674044,-117.9981387,2.0,1.0,1.0,1.0,3.0,8.0
133,California,Burbank,34.1808392,-118.3089661,6.0,3.0,1.0,1.0,1.0,12.0
134,California,Calabasas,34.1367208,-118.6614809,2.0,2.0,0.0,1.0,3.0,8.0
135,California,"California State Polytechnic University, Pomona",34.0575651,-117.820741,0.0,0.0,0.0,0.0,0.0,0.0
136,California,"California State Polytechnic University, San Luis Obispo",35.3050053,-120.6624942,0.0,0.0,1.0,2.0,1.0,4.0
137,California,Calimesa,34.0039039,-117.0619755,0.0,0.0,0.0,0.0,0.0,0.0
138,California,Camarillo,34.2163937,-119.0376023,3.0,3.0,2.0,1.0,1.0,10.0
139,California,Campbell,37.2871651,-121.9499568,1.0,1.0,0.0,0.0,1.0,3.0
140,California,Capitola,36.9752283,-121.953293,0.0,0.0,0.0,0.0,1.0,1.0
141,California,Carlsbad,33.1580933,-117.3505939,0.0,3.0,0.0,0.0,0.0,3.0
142,California,Carmel,36.5552386,-121.9232879,0.0,0.0,0.0,1.0,0.0,1.0
143,California,Carson,33.8316745,-118.281693,3.0,1.0,2.0,3.0,0.0,9.0
144,California,Central Marin,38.083403,-122.7633036,0.0,0.0,1.0,0.0,2.0,3.0
145,California,Cerritos,33.8583483,-118.0647871,1.0,3.0,0.0,0.0,0.0,4.0
146,California,Chico,39.7284944,-121.8374777,4.0,4.0,3.0,0.0,3.0,14.0
147,California,Chino,34.0122346,-117.688944,1.0,7.0,3.0,0.0,2.0,13.0
148,California,Chino Hills,33.9898188,-117.7325848,1.0,0.0,1.0,1.0,1.0,4.0
149,California,Chula Vista,32.6400541,-117.0841955,2.0,3.0,2.0,1.0,3.0,11.0
150,California,Citrus Heights,38.7071247,-121.2810611,0.0,1.0,0.0,2.0,1.0,4.0
151,California,City of Angels,34.0522342,-118.2436849,0.0,0.0,1.0,0.0,0.0,1.0
152,California,Claremont,34.0966764,-117.7197785,1.0,2.0,5.0,3.0,8.0,19.0
153,California,Clayton,37.9410341,-121.9357925,0.0,0.0,0.0,0.0,0.0,0.0
154,California,Clearlake,38.9582307,-122.6263728,4.0,1.0,1.0,7.0,1.0,14.0
155,California,Clovis,36.8252277,-119.7029194,1.0,2.0,0.0,2.0,1.0,6.0
156,California,Coachella,33.6803003,-116.173894,0.0,0.0,0.0,1.0,0.0,1.0
157,California,Coalinga,36.139678,-120.3601496,0.0,0.0,1.0,0.0,0.0,1.0
158,California,Colton,34.0739016,-117.3136547,1.0,1.0,0.0,1.0,0.0,3.0
159,California,Colusa,39.2143343,-122.0094175,0.0,0.0,1.0,0.0,0.0,1.0
160,California,Commerce,34.0005691,-118.1597929,0.0,0.0,0.0,0.0,0.0,0.0
161,California,Compton,33.8958492,-118.2200712,1.0,1.0,3.0,1.0,0.0,6.0
