,City,State,Station Identifier,AM/FM Number,AM/FM Number.1,Latitude,Longitude
0,Birmingham,Alabama,WBHM,FM,90.3,33.5206608,-86.80248999999999
1,Dothan,Alabama,WRWA,FM,88.7,31.2232313,-85.3904888
2,Gadsden,Alabama,WSGN,FM,91.5,34.014264,-86.0066386
3,Huntsville,Alabama,WJAB,FM,90.9,34.7303688,-86.5861037
4,Huntsville,Alabama,WLRH,FM,89.3,34.7303688,-86.5861037
5,Jacksonville,Alabama,WLJS,FM,91.9,33.8137125,-85.76135359999999
6,Mobile,Alabama,WHIL,FM,91.3,30.6953657,-88.0398912
7,Montgomery,Alabama,WVAS,FM,90.7,32.3668052,-86.2999689
8,Montgomery/Troy,Alabama,WTSU,FM,89.9,32.3762523,-86.3108893
9,Muscle Shoals,Alabama,WQPR,FM,88.7,34.7448112,-87.66752919999999
10,Selma,Alabama,WAPR,FM,88.3,32.4073589,-87.02110069999999
11,Tuscaloosa,Alabama,WUAL,FM,91.5,33.2098407,-87.56917349999999
12,Anchorage,Alaska,KSKA,FM,91.1,61.2180556,-149.9002778
13,Barrow,Alaska,KBRW,AM,680.0,71.29055559999999,-156.788611
14,Barrow,Alaska,KBRW,FM,91.9,71.29055559999999,-156.788611
15,Bethel,Alaska,KYUK,AM,640.0,60.7922222,-161.7558334
16,Chevak,Alaska,KCUK,FM,88.1,61.5277778,-165.5863889
17,Dillingham,Alaska,KDLG,AM,670.0,59.03972219999999,-158.4575
18,Fairbanks,Alaska,KUAC,FM,89.9,64.8377778,-147.7163888
19,Galena,Alaska,KIYU,AM,910.0,64.7333333,-156.9275
20,Glennallen,Alaska,KXGA,FM,90.5,62.1097214,-145.5573019
