City,State,Station Identifier,AM/FM Number,AM/FM Number
Birmingham,Alabama,WBHM,FM,90.3
Dothan,Alabama,WRWA,FM,88.7
Gadsden,Alabama,WSGN,FM,91.5
Huntsville,Alabama,WJAB,FM,90.9
Huntsville,Alabama,WLRH,FM,89.3
Jacksonville,Alabama,WLJS,FM,91.9
Mobile,Alabama,WHIL,FM,91.3
Montgomery,Alabama,WVAS,FM,90.7
Montgomery/Troy,Alabama,WTSU,FM,89.9
Muscle Shoals,Alabama,WQPR,FM,88.7
Selma,Alabama,WAPR,FM,88.3
Tuscaloosa,Alabama,WUAL,FM,91.5
Anchorage,Alaska,KSKA,FM,91.1
Barrow,Alaska,KBRW,AM,680
Barrow,Alaska,KBRW,FM,91.9
Bethel,Alaska,KYUK,AM,640
Chevak,Alaska,KCUK,FM,88.1
Dillingham,Alaska,KDLG,AM,670
Fairbanks,Alaska,KUAC,FM,89.9
Galena,Alaska,KIYU,AM,910
Glennallen,Alaska,KXGA,FM,90.5
