County,State,FIPS
Alameda,California,6001
Alpine,California,6003
Amador,California,6005
Butte,California,6007
Butte,California,16023
Butte,California,46019
Calaveras,California,6009
Colusa,California,6011
Contra Costa,California,6013
Del Norte,California,6015
El Dorado,California,6017
Fresno,California,6019
Glenn,California,6021
Humboldt,California,6023
Humboldt,California,19091
Humboldt,California,32013
Imperial,California,6025
Inyo,California,6027
Kern,California,6029
Kings,California,6031
Kings,California,36047
Lake,California,6033
Lake,California,8065
Lake,California,12069
Lake,California,17097
Lake,California,18089
Lake,California,26085
Lake,California,27075
Lake,California,30047
Lake,California,39085
Lake,California,41037
Lake,California,46079
Lake,California,47095
Lake,Colorado,6033
Lake,Colorado,8065
Lake,Colorado,12069
Lake,Colorado,17097
Lake,Colorado,18089
Lake,Colorado,26085
Lake,Colorado,27075
Lake,Colorado,30047
Lake,Colorado,39085
Lake,Colorado,41037
Lake,Colorado,46079
Lake,Colorado,47095
Lake,Illinois,6033
Lake,Illinois,8065
Lake,Illinois,12069
Lake,Illinois,17097
Lake,Illinois,18089
Lake,Illinois,26085
Lake,Illinois,27075
Lake,Illinois,30047
Lake,Illinois,39085
Lake,Illinois,41037
Lake,Illinois,46079
Lake,Illinois,47095
Lake,Oregon,6033
Lake,Oregon,8065
Lake,Oregon,12069
Lake,Oregon,17097
Lake,Oregon,18089
Lake,Oregon,26085
Lake,Oregon,27075
Lake,Oregon,30047
Lake,Oregon,39085
Lake,Oregon,41037
Lake,Oregon,46079
Lake,Oregon,47095
Lassen,California,6035
Los Angeles,California,6037
Madera,California,6039
Marin,California,6041
Mariposa,California,6043
Mendocino,California,6045
Merced,California,6047
Modoc,California,6049
Mono,California,6051
Monterey,California,6053
Napa,California,6055
Nevada,California,5099
Nevada,California,6057
Orange,California,6059
Orange,California,12095
Orange,California,18117
Orange,California,36071
Orange,California,37135
Orange,California,48361
Orange,California,50017
Orange,California,51137
Orange,Vermont,6059
Orange,Vermont,12095
Orange,Vermont,18117
Orange,Vermont,36071
Orange,Vermont,37135
Orange,Vermont,48361
Orange,Vermont,50017
Orange,Vermont,51137
Placer,California,6061
Plumas,California,6063
Riverside,California,6065
Sacramento,California,6067
San Benito,California,6069
San Bernardino,California,6071
San Diego,California,6073
San Francisco,California,6075
San Joaquin,California,6077
San Luis Obispo,California,6079
San Mateo,California,6081
Santa Barbara,California,6083
Santa Clara,California,6085
Santa Cruz,California,4023
Santa Cruz,California,6087
Shasta,California,6089
Sierra,California,6091
Sierra,California,35051
Sierra,New Mexico,6091
Sierra,New Mexico,35051
Siskiyou,California,6093
Solano,California,6095
Sonoma,California,6097
Stanislaus,California,6099
Sutter,California,6101
Tehama,California,6103
Trinity,California,6105
Trinity,California,48455
Tulare,California,6107
Tuolumne,California,6109
Ventura,California,6111
Yolo,California,6113
Yuba,California,6115
Adams,Colorado,8001
Adams,Colorado,16003
Adams,Colorado,17001
Adams,Colorado,18001
Adams,Colorado,19003
Adams,Colorado,28001
Adams,Colorado,31001
Adams,Colorado,38001
Adams,Colorado,39001
Adams,Colorado,42001
Adams,Colorado,53001
Adams,Colorado,55001
Adams,Illinois,8001
Adams,Illinois,16003
Adams,Illinois,17001
Adams,Illinois,18001
Adams,Illinois,19003
Adams,Illinois,28001
Adams,Illinois,31001
Adams,Illinois,38001
Adams,Illinois,39001
Adams,Illinois,42001
Adams,Illinois,53001
Adams,Illinois,55001
Alamosa,Colorado,8003
Arapahoe,Colorado,8005
Archuleta,Colorado,8007
Baca,Colorado,8009
Bent,Colorado,8011
Boulder,Colorado,8013
Chaffee,Colorado,8015
Cheyenne,Colorado,8017
Cheyenne,Colorado,20023
Cheyenne,Colorado,31033
Clear Creek,Colorado,8019
Conejos,Colorado,8021
Costilla,Colorado,8023
Crowley,Colorado,8025
Custer,Colorado,8027
Custer,Colorado,16037
Custer,Colorado,30017
Custer,Colorado,31041
Custer,Colorado,40039
Custer,Colorado,46033
Delta,Colorado,8029
Delta,Colorado,26041
Delta,Colorado,48119
Denver,Colorado,8031
Dolores,Colorado,8033
Douglas,Colorado,8035
Douglas,Colorado,13097
Douglas,Colorado,17041
Douglas,Colorado,20045
Douglas,Colorado,27041
Douglas,Colorado,29067
Douglas,Colorado,31055
Douglas,Colorado,32005
Douglas,Colorado,41019
Douglas,Colorado,46043
Douglas,Colorado,53017
Douglas,Colorado,55031
Douglas,Illinois,8035
Douglas,Illinois,13097
Douglas,Illinois,17041
Douglas,Illinois,20045
Douglas,Illinois,27041
Douglas,Illinois,29067
Douglas,Illinois,31055
Douglas,Illinois,32005
Douglas,Illinois,41019
Douglas,Illinois,46043
Douglas,Illinois,53017
Douglas,Illinois,55031
Douglas,Oregon,8035
Douglas,Oregon,13097
Douglas,Oregon,17041
Douglas,Oregon,20045
Douglas,Oregon,27041
Douglas,Oregon,29067
Douglas,Oregon,31055
Douglas,Oregon,32005
Douglas,Oregon,41019
Douglas,Oregon,46043
Douglas,Oregon,53017
Douglas,Oregon,55031
Eagle,Colorado,8037
Elbert,Colorado,8039
Elbert,Colorado,13105
El Paso,Colorado,8041
El Paso,Colorado,48141
Fremont,Colorado,8043
Fremont,Colorado,16043
Fremont,Colorado,19071
Fremont,Colorado,56013
Garfield,Colorado,8045
Garfield,Colorado,30033
Garfield,Colorado,31071
Garfield,Colorado,40047
Garfield,Colorado,49017
Garfield,Colorado,53023
Gilpin,Colorado,8047
Grand,Colorado,8049
Grand,Colorado,49019
Gunnison,Colorado,8051
Hinsdale,Colorado,8053
Huerfano,Colorado,8055
Jackson,Colorado,1071
Jackson,Colorado,5067
Jackson,Colorado,8057
Jackson,Colorado,12063
Jackson,Colorado,13157
Jackson,Colorado,17077
Jackson,Colorado,18071
Jackson,Colorado,19097
Jackson,Colorado,20085
Jackson,Colorado,21109
Jackson,Colorado,22049
Jackson,Colorado,26075
Jackson,Colorado,27063
Jackson,Colorado,28059
Jackson,Colorado,29095
Jackson,Colorado,37099
Jackson,Colorado,39079
Jackson,Colorado,40065
Jackson,Colorado,41029
Jackson,Colorado,46071
Jackson,Colorado,47087
Jackson,Colorado,48239
Jackson,Colorado,54035
Jackson,Colorado,55053
Jackson,Illinois,1071
Jackson,Illinois,5067
Jackson,Illinois,8057
Jackson,Illinois,12063
Jackson,Illinois,13157
Jackson,Illinois,17077
Jackson,Illinois,18071
Jackson,Illinois,19097
Jackson,Illinois,20085
Jackson,Illinois,21109
Jackson,Illinois,22049
Jackson,Illinois,26075
Jackson,Illinois,27063
Jackson,Illinois,28059
Jackson,Illinois,29095
Jackson,Illinois,37099
Jackson,Illinois,39079
Jackson,Illinois,40065
Jackson,Illinois,41029
Jackson,Illinois,46071
Jackson,Illinois,47087
Jackson,Illinois,48239
Jackson,Illinois,54035
Jackson,Illinois,55053
Jackson,Oregon,1071
Jackson,Oregon,5067
Jackson,Oregon,8057
Jackson,Oregon,12063
Jackson,Oregon,13157
Jackson,Oregon,17077
Jackson,Oregon,18071
Jackson,Oregon,19097
Jackson,Oregon,20085
Jackson,Oregon,21109
Jackson,Oregon,22049
Jackson,Oregon,26075
Jackson,Oregon,27063
Jackson,Oregon,28059
Jackson,Oregon,29095
Jackson,Oregon,37099
Jackson,Oregon,39079
Jackson,Oregon,40065
Jackson,Oregon,41029
Jackson,Oregon,46071
Jackson,Oregon,47087
Jackson,Oregon,48239
Jackson,Oregon,54035
Jackson,Oregon,55053
Jefferson,Colorado,1073
Jefferson,Colorado,5069
Jefferson,Colorado,8059
Jefferson,Colorado,12065
Jefferson,Colorado,13163
Jefferson,Colorado,16051
