,Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
0,702,Alaska,Anchorage,Anchorage,KNBA,FM,90.3,@KNBA,@aprn,Twitter,right_only,Emptyatload
6,708,Alaska,Unalaska,Unalaska,KUCB,FM,89.7,@KUCBNews,,Twitter,right_only,Emptyatload
10,712,California,Angwin,Angwin,KDFC,FM,89.9,@ClassicalKDFC,,Twitter,right_only,Emptyatload
12,714,California,Calexico,Calexico,KQVO,FM,97.7,@kpbsnews,,Twitter,right_only,Emptyatload
13,715,California,Coachella,Coachella,KVLA,FM,90.3,@kvlatv,,Twitter,right_only,Emptyatload
14,716,California,McCloud,McCloud,KLDD,FM,91.9,@JPRnews,,Twitter,right_only,Emptyatload
16,718,California,Mojave,Mojave,KCRY,FM,88.1,@kcrw,,Twitter,right_only,Emptyatload
17,719,California,Morro Bay,Morro Bay,KESC,FM,99.7,@classicalkusc,,Twitter,right_only,Emptyatload
20,722,California,Quincy,Quincy,KQNC,FM,88.1,@capradionews,,Twitter,right_only,Emptyatload
21,723,California,Redlands,Redlands,KUOR,FM,89.1,@scpr,,Twitter,right_only,Emptyatload
24,726,California,Sacramento,Sacramento,KXPR,FM,88.9,@capradionews,,Twitter,right_only,Emptyatload
25,727,California,San Ardo,San Ardo,KNBX,FM,91.7,@kcbxfm,,Twitter,right_only,Emptyatload
27,729,California,San Francisco,San Francisco,KUSF,FM,90.3,@kusforg,,Twitter,right_only,Emptyatload
28,730,California,Santa Barbara,Santa Barbara,KDRW,FM,88.7,@kcrw,,Twitter,right_only,Emptyatload
29,731,California,Santa Barbara,Santa Barbara,KCLU,AM,1340.0,@kclulive,,Twitter,right_only,Emptyatload
30,732,California,Santa Barbara,Santa Barbara,KSBX,FM,89.5,@kcbxfm,,Twitter,right_only,Emptyatload
32,734,California,Sutter,Sutter,KXJS,FM,88.7,@capradionews,,Twitter,right_only,Emptyatload
33,735,California,Thousand Oaks,Thousand Oaks,KDSC,FM,91.1,@classicalKUSC,,Twitter,right_only,Emptyatload
35,737,Colorado,Carbondale,Carbondale,KCJX,FM,88.9,@aspenpubradio,,Twitter,right_only,Emptyatload
36,738,Colorado,Carbondale,Carbondale,KDNK,FM,88.1,@kdnkradio,,Twitter,right_only,Emptyatload
39,741,Colorado,Denver,Denver,KCFR,FM,90.1,@COPublicRadio,,Twitter,right_only,Emptyatload
40,742,Colorado,Denver,Denver,KVOD,FM,88.1,@COPublicRadio,,Twitter,right_only,Emptyatload
