,State,City,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Latitude,Longitude
0,Alaska,Anchorage,KNBA,FM,90.3,@KNBA,@aprn,61.2180556,-149.9002778
6,Alaska,Unalaska,KUCB,FM,89.7,@KUCBNews,,53.8844382,-166.5332434
10,California,Angwin,KDFC,FM,89.9,@ClassicalKDFC,,38.5757402,-122.4499796
12,California,Calexico,KQVO,FM,97.7,@kpbsnews,,32.6789476,-115.4988834
13,California,Coachella,KVLA,FM,90.3,@kvlatv,,33.6803003,-116.173894
14,California,McCloud,KLDD,FM,91.9,@JPRnews,,41.2557119,-122.1394487
16,California,Mojave,KCRY,FM,88.1,@kcrw,,35.0524699,-118.1739645
17,California,Morro Bay,KESC,FM,99.7,@classicalkusc,,35.3659445,-120.8499924
20,California,Quincy,KQNC,FM,88.1,@capradionews,,39.9368363,-120.9471764
21,California,Redlands,KUOR,FM,89.1,@scpr,,34.0555693,-117.1825381
24,California,Sacramento,KXPR,FM,88.9,@capradionews,,38.5815719,-121.4943996
25,California,San Ardo,KNBX,FM,91.7,@kcbxfm,,36.0205207,-120.9051826
27,California,San Francisco,KUSF,FM,90.3,@kusforg,,37.7749295,-122.4194155
28,California,Santa Barbara,KDRW,FM,88.7,@kcrw,,34.4208305,-119.6981901
29,California,Santa Barbara,KCLU,AM,1340.0,@kclulive,,34.4208305,-119.6981901
30,California,Santa Barbara,KSBX,FM,89.5,@kcbxfm,,34.4208305,-119.6981901
32,California,Sutter,KXJS,FM,88.7,@capradionews,,39.1598915,-121.7527482
33,California,Thousand Oaks,KDSC,FM,91.1,@classicalKUSC,,34.1705609,-118.8375937
35,Colorado,Carbondale,KCJX,FM,88.9,@aspenpubradio,,39.4022054,-107.2111628
36,Colorado,Carbondale,KDNK,FM,88.1,@kdnkradio,,39.4022054,-107.2111628
39,Colorado,Denver,KCFR,FM,90.1,@COPublicRadio,,39.7392358,-104.990251
40,Colorado,Denver,KVOD,FM,88.1,@COPublicRadio,,39.7392358,-104.990251
41,Colorado,Fort Collins,KVXQ,FM,88.3,@COPublicRadio,,40.5852602,-105.084423
42,Colorado,Ignacio,KUTE,FM,90.1,@ksut,,37.1150037,-107.633113
45,Colorado,Steamboat Springs,KRNC,FM,88.5,@kunc,,40.4849769,-106.8317158
46,Connecticut,Fairfield,WVOF,FM,88.5,@wvof885,,41.1408363,-73.2612615
47,Connecticut,Meriden,WNPR,FM,90.5,@wnpr,,41.5381535,-72.80704349999999
48,Connecticut,Middletown,WESU,FM,88.1,@WESUmiddletown,,41.5623209,-72.6506488
52,Connecticut,Sharon,WQQQ,FM,103.3,@wqqq,,41.8793754,-73.4768697
53,Delaware,Dover,WDDE,FM,91.1,@wdde,,39.158168,-75.5243682
56,Florida,Miami,WDNA,FM,88.9,@wdnaradio,,25.7616798,-80.1917902
57,Florida,Sarasota,WSMR,FM,89.1,@wusf,,27.3364347,-82.53065269999999
59,Georgia,Chatsworth,WNGH,FM,98.9,@gpbnews,@mygpb,34.7659145,-84.7699385
61,Georgia,Macon,WMUM,FM,89.7,@gpbmacon,,32.8406946,-83.6324022
62,Georgia,Rome,WGPB,FM,97.7,@gpbnews,@mygpb,34.257038,-85.1646726
73,Illinois,Galesburg,WVKC,FM,90.7,@TheWVKC,,40.94781580000001,-90.3712395
74,Illinois,Glen Ellyn,WDCB,FM,90.9,@WDCBnews,,41.8775293,-88.0670118
77,Illinois,Urbana,WILL,AM,90.9,@willpublicmedia,,40.1105875,-88.2072697
80,Indiana,Fort Wayne,WBOI,FM,89.1,@WBOI,,41.079273,-85.1393513
83,Indiana,Lowell,WLPR,FM,89.1,@WLPR891,,41.2914243,-87.4205903
85,Indiana,Vincennes,WVUB,FM,91.1,@WVUB,,38.677269,-87.5286325
96,Iowa,Okoboji,KOJI,FM,90.7,@kwitkoji,,43.3863521,-95.1483293
97,Iowa,Ottumwa,KNSZ,FM,89.1,@Ottumwa_Radio,,41.01602930000001,-92.40830220000001
98,Iowa,Ottumwa,KICW,FM,91.1,@kicwtv,,41.01602930000001,-92.40830220000001
99,Iowa,Patterson,KICP,FM,105.9,@iowapublicradio,,41.3483244,-93.88050229999999
100,Iowa,Pleasantville,KICL,FM,96.3,@iowapublicradio,,41.3869578,-93.2682683
101,Iowa,Waterloo,KBBG,FM,88.1,@kbbgradio,,42.492786,-92.34257749999999
102,Kansas,Chanute,KANQ,FM,90.3,@kprnews,,37.6792135,-95.4572034
103,Kansas,Hays,KZAN,FM,91.7,@hppr,,38.8791783,-99.3267702
104,Kansas,Olsburg,KANV,FM,91.3,@kprnews,,39.4305527,-96.6155634
106,Kentucky,Louisville,WUOL,FM,90.5,@wuol,,38.2526647,-85.7584557
107,Louisiana,Alexandria,KLSA,FM,90.7,@rrrpublicradio,,31.3112936,-92.4451371
109,Louisiana,Baton Rouge,WRKF,FM,89.3,@wrkf,,30.4514677,-91.18714659999999
110,Louisiana,Hammond,KSLU,FM,90.9,@kslutwitter,,30.5043583,-90.46119949999999
111,Louisiana,Lafayette,KRVS,FM,88.7,@krvsmedia,,30.2240897,-92.0198427
112,Louisiana,Monroe,KEDM,FM,90.3,@kedmpublicradio,,32.5093109,-92.1193012
113,Louisiana,New Orleans,WWNO,FM,89.9,@wwno,,29.95106579999999,-90.0715323
114,Louisiana,Shreveport,KDAQ,FM,89.9,@rrrpublicradio,,32.5251516,-93.7501789
116,Maine,Camden,WMEP,FM,90.5,@mainepublic,,44.2097928,-69.0647838
117,Maryland,Frederick,WYPF,FM,88.1,@wypf881fm,,39.41426879999999,-77.4105409
118,Maryland,Hagerstown,WGMS,FM,89.1,@wetatvfm,,39.6417629,-77.71999319999999
121,Maryland,Towson,WTMD,FM,89.7,@wtmd,,39.4014955,-76.6019125
122,Massachusetts,Brewster,WZAI,FM,94.3,@wcai_npr,,41.7600902,-70.0827905
123,Massachusetts,Deerfield,WNNZ,FM,91.7,@wfcr885,,42.5445588,-72.6056435
124,Massachusetts,Lowell,WCRB,FM,99.5,@995wcrb,,42.6334247,-71.31617179999999
126,Massachusetts,Newburyport,WNEF,FM,91.7,@wumbradio,,42.8125913,-70.87727509999999
129,Massachusetts,Stow,WUMG,FM,91.7,@wumbradio,,42.4370374,-71.5056199
131,Massachusetts,Westfield,WNNZ,AM,640.0,@wfcr885,,42.1250929,-72.749538
132,Michigan,Berrien Springs,WAUS,FM,90.7,@wausfm,,41.9464342,-86.338905
134,Michigan,Houghton,WGGL,FM,91.1,@mprnews,,47.12113309999999,-88.5694182
135,Michigan,Mackinaw City,WIAB,FM,88.5,@IPRNewsRadio,,45.7774987,-84.72714649999999
136,Michigan,Manistee,WLMN,FM,89.7,@IPRNewsRadio,,44.2444473,-86.324253
137,Minnesota,Appleton,KRSU,FM,91.3,@rsuradio,,45.1991667,-96.0244443
138,Minnesota,Austin,KNSE,FM,90.1,@mpr,,43.6666296,-92.97463669999999
139,Minnesota,Bemidji,KCRB,FM,88.5,@mpr,,47.471573,-94.8826861
140,Minnesota,Brainerd,KBPN,FM,88.3,@mpr,,46.3526733,-94.2020084
141,Minnesota,St. Cloud,KSJR,FM,90.1,@mpr,,45.5579451,-94.16324039999999
142,Minnesota,Duluth,KUMD,FM,103.3,@kumd1033fm,,46.78667189999999,-92.1004852
143,Minnesota,Duluth,WSCD,FM,92.9,@mpr,,46.78667189999999,-92.1004852
144,Minnesota,Fergus Falls,KCMF,FM,89.7,@mpr,,46.2835212,-96.0777887
145,Minnesota,Fergus Falls,KNWF,FM,91.5,@mpr,,46.2835212,-96.0777887
147,Minnesota,Grand Marais,WMLS,FM,88.7,@classicalmpr,,47.7504469,-90.3342727
148,Minnesota,Grand Marais,WTIP,FM,90.7,@wtipradio,,47.7504469,-90.3342727
149,Minnesota,Grand Portage,WGPO,FM,90.1,@wtipradio,,47.9637433,-89.68487119999999
