City,State,Station Identifier,AM/FM Number,AM/FM Number
Birmingham,Alabama,WBHM,FM,90.3
Dothan,Alabama,WRWA,FM,88.7
Gadsden,Alabama,WSGN,FM,91.5
Huntsville,Alabama,WJAB,FM,90.9
Huntsville,Alabama,WLRH,FM,89.3
Jacksonville,Alabama,WLJS,FM,91.9
Mobile,Alabama,WHIL,FM,91.3
Montgomery,Alabama,WVAS,FM,90.7
Montgomery/Troy,Alabama,WTSU,FM,89.9
Muscle Shoals,Alabama,WQPR,FM,88.7
Selma,Alabama,WAPR,FM,88.3
Tuscaloosa,Alabama,WUAL,FM,91.5
Anchorage,Alaska,KSKA,FM,91.1
Barrow,Alaska,KBRW,AM,680
Barrow,Alaska,KBRW,FM,91.9
Bethel,Alaska,KYUK,AM,640
Chevak,Alaska,KCUK,FM,88.1
Dillingham,Alaska,KDLG,AM,670
Fairbanks,Alaska,KUAC,FM,89.9
Galena,Alaska,KIYU,AM,910
Glennallen,Alaska,KXGA,FM,90.5
Haines,Alaska,KHNS,FM,102.3
Homer,Alaska,KBBI,AM,890
Juneau,Alaska,KTOO,FM,104.3
Kenai,Alaska,KDLL,FM,91.9
Ketchikan,Alaska,KRBD,FM,105.9
Kodiak,Alaska,KMXT,FM,100.1
McCarthy,Alaska,KXKM,FM,89.7
McGrath,Alaska,KSKO,AM,870
Petersburg,Alaska,KFSK,FM,100.9
Sitka,Alaska,KCAW,FM,104.7
St. Paul,Alaska,KUSB,FM,91.9
Talkeetna,Alaska,KTNA,FM,88.5
Unalaska,Alaska,KIAL,AM,1450
Valdez,Alaska,KCHU,AM,770
Wrangell,Alaska,KSTK,FM,101.7
Flagstaff,Arizona,KPUB,FM,91.7
Flagstaff,Arizona,KNAU,FM,88.7
Grand Canyon,Arizona,KNAG,FM,90.3
Page,Arizona,KNAD,FM,91.7
Phoenix,Arizona,KBAQ,FM,89.5
Phoenix,Arizona,KJZZ,FM,91.5
Prescott,Arizona,KNAQ,FM,89.3
Show Low,Arizona,KNAA,FM,90.7
Tucson,Arizona,KUAZ,AM,1550
Tucson,Arizona,KUAZ,FM,89.1
White River,Arizona,KNNB,FM,88.1
Yuma,Arizona,KAWC,AM,1320
Yuma,Arizona,KAWC,FM,88.9
El Dorado,Arkansas,KBSA,FM,90.9
Fayetteville,Arkansas,KUAF,FM,91.3
Jonesboro,Arkansas,KASU,FM,91.9
Little Rock,Arkansas,KLRE,FM,90.5
Little Rock,Arkansas,KUAR,FM,89.1
Arcata,California,KHSU,FM,90.5
Bakersfield,California,KPRX,FM,89.1
Burney,California,KNCA,FM,89.7
Chico,California,KCHO,FM,91.7
Crescent City,California,KHSR,FM,91.9
Fresno,California,KVPR,FM,89.3
Groveland,California,KXSR,FM,91.7
Indio,California,KCRI,FM,89.3
Long Beach,California,KKJZ,FM,88.1
Los Angeles,California,KUSC,FM,91.5
Mt. Shasta,California,KNSQ,FM,88.1
North Hollywood,California,KPFK,FM,90.7
Northridge,California,KCSN,FM,88.5
Oxnard,California,KCRU,FM,89.1
Pacific Grove,California,KAZU,FM,90.3
Palm Springs,California,KPSC,FM,88.5
Pasadena,California,KPCC,FM,89.3
Philo,California,KZYX,FM,90.7
Redding,California,KFPR,FM,88.9
Sacramento,California,KXJZ,FM,88.9
Sacramento,California,KXPR,FM,90.9
San Ardo,California,KBDH,FM,91.7
San Bernardino,California,KVCR,FM,91.9
San Diego,California,KPBS,FM,89.5
San Francisco,California,KALW,FM,91.7
San Francisco,California,KQED,FM,88.5
San Luis Obispo,California,KCBX,FM,90.1
San Mateo,California,KCSM,FM,91.1
Santa Barbara,California,KFAC,FM,88.7
Santa Cruz,California,KUSP,FM,88.9
Santa Monica,California,KCRW,FM,89.9
Santa Rosa,California,KRCB,FM,91.1
Stockton,California,KUOP,FM,91.3
Tahoe City,California,KKTO,FM,90.5
Thousand Oaks,California,KCLU,FM,88.3
Thousand Oaks,California,KCPB,FM,91.1
Willits,California,KZYZ,FM,91.5
Yreka,California,KNYR,FM,91.3
Alamosa,Colorado,KRZA,FM,88.7
Aspen,Colorado,KAJX,FM,91.5
Boulder,Colorado,KCFC,AM,1490
Carbondale,Colorado,KDNK,FM,90.5
Colorado Springs,Colorado,KRCC,FM,91.5
Cortez,Colorado,KSJD,FM,91.5
Crested Butte,Colorado,KBUT,FM,90.3
Delta,Colorado,KPRU,FM,103.3
Denver,Colorado,KCFR,AM,1340
Denver,Colorado,KUVO,FM,89.3
Denver,Colorado,KVOD,FM,90.1
Grand Junction,Colorado,KPRN,FM,89.5
Greeley,Colorado,KUNC,FM,91.5
Ignacio,Colorado,KSUT,FM,91.3
Montrose,Colorado,KPRH,FM,88.3
Montrose,Colorado,KVMT,FM,89.1
Paonia,Colorado,KVNF,FM,90.9
Pueblo,Colorado,KCFP,FM,91.9
Pueblo,Colorado,KKPC,AM,1230
Telluride,Colorado,KOTO,FM,91.7
Vail,Colorado,KPRE,FM,89.9
Fairfield,Connecticut,WSHU,FM,91.1
Meriden,Connecticut,WPKT,FM,90.5
Norwich,Connecticut,WNPR,FM,89.1
Stamford,Connecticut,WEDW,FM,88.5
Westport,Connecticut,WSHU,AM,1260
Willimantic,Connecticut,WECS,FM,90.1
Dover,Delaware,WRTX,FM,91.7
Washington,District of Columbia,WAMU,FM,88.5
Washington,District of Columbia,WETA,FM,90.9
Ft. Myers,Florida,WGCU,FM,90.1
Ft. Pierce,Florida,WQCS,FM,88.9
Gainesville,Florida,WUFT,FM,89.1
Inverness,Florida,WJUF,FM,90.1
Jacksonville,Florida,WJCT,FM,89.9
Marco,Florida,WMKO,FM,91.7
Melbourne,Florida,WFIT,FM,89.5
Miami,Florida,WLRN,FM,91.3
Orlando,Florida,WMFE,FM,90.7
Orlando,Florida,WUCF,FM,89.9
Panama City,Florida,WFSW,FM,89.1
Panama City,Florida,WKGC,AM,1480
Panama City,Florida,WKGC,FM,90.7
Pensacola,Florida,WUWF,FM,88.1
Tallahassee,Florida,WFSQ,FM,91.5
Tallahassee,Florida,WFSU,FM,88.9
Tampa,Florida,WMNF,FM,88.5
Tampa,Florida,WUSF,FM,89.7
West Palm Beach,Florida,WXEL,FM,90.7
Albany,Georgia,WUNV,FM,91.7
Athens,Georgia,WUGA,FM,91.7
Atlanta,Georgia,WABE,FM,90.1
Atlanta,Georgia,WCLK,FM,91.9
Atlanta,Georgia,WRFG,FM,89.3
Augusta,Georgia,WACG,FM,90.7
Brunswick,Georgia,WWIO,FM,89.1
Carrolton,Georgia,WWGC,FM,90.7
Columbus,Georgia,WTJB,FM,91.7
Dahlonega,Georgia,WNGU,FM,89.5
Demorest,Georgia,WPPR,FM,88.3
Ft. Gaines,Georgia,WJWV,FM,90.9
Macon,Georgia,WDCO,FM,89.7
Savannah,Georgia,WSVH,FM,91.1
Tifton,Georgia,WABR,FM,91.1
Valdosta,Georgia,WWET,FM,91.7
Warm Springs,Georgia,WJSP,FM,88.1
Waycross,Georgia,WXVS,FM,90.1
Agana,Guam,KPRG,FM,89.3
Honolulu,Hawaii,KHPR,FM,88.1
Honolulu,Hawaii,KIPO,FM,89.3
Wailuku,Hawaii,KKUA,FM,90.7
Boise,Idaho,KBSU,AM,730
Boise,Idaho,KBSU,FM,90.3
Boise,Idaho,KBSX,FM,91.5
Bonners Ferry,Idaho,KIBX,FM,92.1
Cottonwood,Idaho,KNWO,FM,90.1
McCall,Idaho,KBSM,FM,91.7
Moscow,Idaho,KRFA,FM,91.7
Pocatello,Idaho,KISU,FM,91.1
Rexburg,Idaho,KBYI,FM,100.5
Twin Falls,Idaho,KEJZ,AM,1450
Twin Falls,Idaho,KBSW,FM,91.7
Carbondale,Illinois,WSIU,FM,91.9
Champaign,Illinois,WEFT,FM,90.1
Chicago,Illinois,WBEZ,FM,91.5
DeKalb,Illinois,WNIU,FM,90.5
Edwardsville,Illinois,WSIE,FM,88.7
Freeport,Illinois,WNIE,FM,89.1
LaSalle,Illinois,WNIW,FM,91.5
Macomb,Illinois,WIUM,FM,91.3
Mt.Vernon,Illinois,WVSI,FM,88.9
Normal,Illinois,WGLT,FM,89.1
Olney,Illinois,WUSI,FM,90.3
Peoria,Illinois,WCBU,FM,89.9
Pittsfield,Illinois,WIPA,FM,89.3
Quincy,Illinois,WQUB,FM,90.3
Rock Island,Illinois,WVIK,FM,90.3
Rockford,Illinois,WNIJ,FM,89.5
Springfield,Illinois,WUIS,FM,91.9
Sterling,Illinois,WNIQ,FM,91.5
Urbana,Illinois,WILL,AM,580
Urbana,Illinois,WILL,FM,90.9
Warsaw,Illinois,WIUW,FM,89.5
Anderson,Indiana,WBSB,FM,89.5
